timestamp,checkout_p95_seconds,cart_p95_seconds,catalog_p95_seconds
2026-03-19T14:00:00Z,0.122,0.097,0.084
2026-03-19T14:01:00Z,0.185,0.112,0.094
2026-03-19T14:02:00Z,0.139,0.104,0.092
2026-03-19T14:03:00Z,0.179,0.140,0.086
2026-03-19T14:04:00Z,0.120,0.108,0.086
2026-03-19T14:05:00Z,0.115,0.137,0.099
2026-03-19T14:06:00Z,0.120,0.101,0.083
2026-03-19T14:07:00Z,0.180,0.080,0.104
2026-03-19T14:08:00Z,0.182,0.132,0.076
2026-03-19T14:09:00Z,0.094,0.097,0.072
2026-03-19T14:10:00Z,0.123,0.089,0.075
2026-03-19T14:11:00Z,0.113,0.140,0.094
2026-03-19T14:12:00Z,0.165,0.120,0.078
2026-03-19T14:13:00Z,0.105,0.112,0.100
2026-03-19T14:14:00Z,0.133,0.092,0.072
2026-03-19T14:15:00Z,0.126,0.111,0.081
2026-03-19T14:16:00Z,0.173,0.090,0.090
2026-03-19T14:17:00Z,0.188,0.083,0.106
2026-03-19T14:18:00Z,0.150,0.106,0.079
2026-03-19T14:19:00Z,0.178,0.145,0.106
2026-03-19T14:20:00Z,0.189,0.102,0.075
2026-03-19T14:21:00Z,0.180,0.143,0.082
2026-03-19T14:22:00Z,4.837,3.871,0.093
2026-03-19T14:23:00Z,4.760,3.930,0.090
2026-03-19T14:24:00Z,4.831,3.880,0.095
2026-03-19T14:25:00Z,4.820,3.908,0.095
2026-03-19T14:26:00Z,4.756,3.928,0.099
2026-03-19T14:27:00Z,4.814,3.915,0.078
2026-03-19T14:28:00Z,4.830,3.870,0.106
2026-03-19T14:29:00Z,4.784,3.903,0.089
2026-03-19T14:30:00Z,4.805,3.880,0.101
2026-03-19T14:31:00Z,4.804,3.900,0.099
2026-03-19T14:32:00Z,4.838,3.889,0.075
2026-03-19T14:33:00Z,4.842,3.912,0.075
2026-03-19T14:34:00Z,4.824,3.931,0.097
2026-03-19T14:35:00Z,4.763,3.935,0.092
2026-03-19T14:36:00Z,4.798,3.900,0.103
2026-03-19T14:37:00Z,4.815,3.867,0.073
2026-03-19T14:38:00Z,4.828,3.877,0.085
2026-03-19T14:39:00Z,4.820,3.932,0.078
2026-03-19T14:40:00Z,4.827,3.919,0.083
2026-03-19T14:41:00Z,4.794,3.860,0.106
2026-03-19T14:42:00Z,4.768,3.937,0.107
2026-03-19T14:43:00Z,4.813,3.883,0.090
2026-03-19T14:44:00Z,4.835,3.915,0.100
2026-03-19T14:45:00Z,4.757,3.929,0.089
2026-03-19T14:46:00Z,4.767,3.872,0.086
2026-03-19T14:47:00Z,4.822,3.900,0.083
2026-03-19T14:48:00Z,4.754,3.937,0.088
2026-03-19T14:49:00Z,4.768,3.864,0.093
