timestamp,redis_pool_in_use,redis_pool_size,redis_pool_waiters,postgres_cpu_percent
2026-03-19T14:00:00Z,10,16,0,33.9
2026-03-19T14:01:00Z,9,16,0,31.7
2026-03-19T14:02:00Z,8,16,0,33.4
2026-03-19T14:03:00Z,7,16,0,33.1
2026-03-19T14:04:00Z,6,16,0,32.1
2026-03-19T14:05:00Z,10,16,0,31.9
2026-03-19T14:06:00Z,10,16,0,32.6
2026-03-19T14:07:00Z,9,16,0,28.5
2026-03-19T14:08:00Z,6,16,0,32.5
2026-03-19T14:09:00Z,10,16,0,28.4
2026-03-19T14:10:00Z,7,16,0,30.2
2026-03-19T14:11:00Z,11,16,0,29.6
2026-03-19T14:12:00Z,11,16,0,30.7
2026-03-19T14:13:00Z,6,16,0,30.2
2026-03-19T14:14:00Z,8,16,0,30.3
2026-03-19T14:15:00Z,10,16,0,31.1
2026-03-19T14:16:00Z,10,16,0,30.1
2026-03-19T14:17:00Z,7,16,0,29.4
2026-03-19T14:18:00Z,9,16,0,31.8
2026-03-19T14:19:00Z,11,16,0,30.5
2026-03-19T14:20:00Z,10,16,0,31.7
2026-03-19T14:21:00Z,7,16,0,31.1
2026-03-19T14:22:00Z,16,16,48,29.2
2026-03-19T14:23:00Z,16,16,36,30.2
2026-03-19T14:24:00Z,16,16,58,29.9
2026-03-19T14:25:00Z,16,16,20,33.3
2026-03-19T14:26:00Z,16,16,39,30.5
2026-03-19T14:27:00Z,16,16,36,29.9
2026-03-19T14:28:00Z,16,16,58,33.7
2026-03-19T14:29:00Z,16,16,21,32.8
2026-03-19T14:30:00Z,16,16,45,29.2
2026-03-19T14:31:00Z,16,16,52,30.6
2026-03-19T14:32:00Z,16,16,54,33.4
2026-03-19T14:33:00Z,16,16,22,30.8
2026-03-19T14:34:00Z,16,16,49,33.8
2026-03-19T14:35:00Z,16,16,53,30.7
2026-03-19T14:36:00Z,16,16,22,29.1
2026-03-19T14:37:00Z,16,16,41,28.2
2026-03-19T14:38:00Z,16,16,49,29.0
2026-03-19T14:39:00Z,16,16,57,33.1
2026-03-19T14:40:00Z,16,16,41,29.8
2026-03-19T14:41:00Z,16,16,58,28.1
2026-03-19T14:42:00Z,16,16,59,31.7
2026-03-19T14:43:00Z,16,16,44,32.7
2026-03-19T14:44:00Z,16,16,30,31.5
2026-03-19T14:45:00Z,16,16,41,29.6
2026-03-19T14:46:00Z,16,16,50,32.8
2026-03-19T14:47:00Z,16,16,33,29.8
2026-03-19T14:48:00Z,16,16,59,31.6
2026-03-19T14:49:00Z,16,16,23,31.0
