ts,p50_ms,p95_ms,error_rate,rps
2026-03-17T09:00:00.000Z,42.93,182.61,0.002,361
2026-03-17T09:01:00.000Z,42.35,174.02,0.002,326
2026-03-17T09:02:00.000Z,39,169.66,0.0015,340
2026-03-17T09:03:00.000Z,37.03,162.48,0.0028,345
2026-03-17T09:04:00.000Z,46.94,167.62,0.0016,322
2026-03-17T09:05:00.000Z,37.62,166.88,0.002,345
2026-03-17T09:06:00.000Z,40.29,168.63,0.0017,343
2026-03-17T09:07:00.000Z,42.55,174.93,0.0021,320
2026-03-17T09:08:00.000Z,44.76,180.39,0.0022,347
2026-03-17T09:09:00.000Z,37.91,169.06,0.002,347
2026-03-17T09:10:00.000Z,43.53,166.01,0.0018,326
2026-03-17T09:11:00.000Z,46.33,184.81,0.0014,337
2026-03-17T09:12:00.000Z,39.04,178.66,0.0015,364
2026-03-17T09:13:00.000Z,39.78,166.6,0.0018,327
2026-03-17T09:14:00.000Z,39.67,192.44,0.0017,362
2026-03-17T09:15:00.000Z,37.34,171.1,0.0015,341
2026-03-17T09:16:00.000Z,43.46,184.36,0.0015,358
2026-03-17T09:17:00.000Z,37.05,188.26,0.0013,350
2026-03-17T09:18:00.000Z,42.61,186.12,0.0019,359
2026-03-17T09:19:00.000Z,40.54,171.57,0.0022,352
2026-03-17T09:20:00.000Z,47,186.6,0.0022,349
2026-03-17T09:21:00.000Z,40.48,190.58,0.0014,346
2026-03-17T09:22:00.000Z,43.39,162.94,0.0024,343
2026-03-17T09:23:00.000Z,45.58,190.51,0.1255,322
2026-03-17T09:24:00.000Z,39.59,176.34,0.0573,359
2026-03-17T09:25:00.000Z,40.76,177.21,0.0658,318
2026-03-17T09:26:00.000Z,45.94,194.3,0.0641,316
2026-03-17T09:27:00.000Z,41.73,216.27,0.056,348
2026-03-17T09:28:00.000Z,42.87,224.52,0.1275,357
2026-03-17T09:29:00.000Z,37.85,222.92,0.0607,328
2026-03-17T09:30:00.000Z,42.62,220.77,0.0721,343
2026-03-17T09:31:00.000Z,44.57,213.85,0.0701,348
2026-03-17T09:32:00.000Z,47.35,208.93,0.1016,327
2026-03-17T09:33:00.000Z,40.57,243.73,0.0902,330
2026-03-17T09:34:00.000Z,39.61,242.22,0.0788,316
2026-03-17T09:35:00.000Z,41.94,266.15,0.1221,356
2026-03-17T09:36:00.000Z,41.85,242.89,0.0779,336
2026-03-17T09:37:00.000Z,39.28,275.01,0.1157,359
2026-03-17T09:38:00.000Z,46.89,248.88,0.063,319
2026-03-17T09:39:00.000Z,44.81,279.63,0.0997,335
2026-03-17T09:40:00.000Z,41.12,262.16,0.1105,326
2026-03-17T09:41:00.000Z,41.67,278.37,0.1028,331
2026-03-17T09:42:00.000Z,42.19,299.31,0.0864,339
2026-03-17T09:43:00.000Z,44.03,285.72,0.0815,347
2026-03-17T09:44:00.000Z,47.24,280.69,0.0858,335
2026-03-17T09:45:00.000Z,43.9,315.91,0.0792,334
2026-03-17T09:46:00.000Z,44.23,287.07,0.1112,331
2026-03-17T09:47:00.000Z,39.34,297.33,0.1047,327
2026-03-17T09:48:00.000Z,42.53,341.84,0.1165,352
2026-03-17T09:49:00.000Z,41.69,343.91,0.0897,338
2026-03-17T09:50:00.000Z,38.79,337,0.0682,331
2026-03-17T09:51:00.000Z,42.52,307.97,0.0957,349
2026-03-17T09:52:00.000Z,45.42,347.85,0.063,351
2026-03-17T09:53:00.000Z,40.99,321.46,0.105,329
2026-03-17T09:54:00.000Z,39.46,328.71,0.0722,359
2026-03-17T09:55:00.000Z,47.73,354.83,0.0902,344
2026-03-17T09:56:00.000Z,41.63,338.49,0.1014,355
2026-03-17T09:57:00.000Z,39.33,367.5,0.123,359
2026-03-17T09:58:00.000Z,40.54,373.76,0.0723,349
2026-03-17T09:59:00.000Z,47.48,378.06,0.0705,345
