ts,active_sessions,reauth_per_min
2026-03-17T09:00:00.000Z,8293,12
2026-03-17T09:01:00.000Z,8479,11
2026-03-17T09:02:00.000Z,8404,14
2026-03-17T09:03:00.000Z,8603,9
2026-03-17T09:04:00.000Z,8154,14
2026-03-17T09:05:00.000Z,8410,9
2026-03-17T09:06:00.000Z,8380,9
2026-03-17T09:07:00.000Z,8302,11
2026-03-17T09:08:00.000Z,8261,15
2026-03-17T09:09:00.000Z,8176,15
2026-03-17T09:10:00.000Z,8516,9
2026-03-17T09:11:00.000Z,8622,13
2026-03-17T09:12:00.000Z,8484,11
2026-03-17T09:13:00.000Z,8438,11
2026-03-17T09:14:00.000Z,8486,14
2026-03-17T09:15:00.000Z,8642,11
2026-03-17T09:16:00.000Z,8609,13
2026-03-17T09:17:00.000Z,8534,9
2026-03-17T09:18:00.000Z,8524,285
2026-03-17T09:19:00.000Z,8412,400
2026-03-17T09:20:00.000Z,8054,291
2026-03-17T09:21:00.000Z,8115,452
2026-03-17T09:22:00.000Z,7948,343
2026-03-17T09:23:00.000Z,7769,290
2026-03-17T09:24:00.000Z,7415,376
2026-03-17T09:25:00.000Z,7370,280
2026-03-17T09:26:00.000Z,7301,308
2026-03-17T09:27:00.000Z,6738,457
2026-03-17T09:28:00.000Z,6657,304
2026-03-17T09:29:00.000Z,6629,359
2026-03-17T09:30:00.000Z,6442,267
2026-03-17T09:31:00.000Z,6082,336
2026-03-17T09:32:00.000Z,5936,393
2026-03-17T09:33:00.000Z,5951,297
2026-03-17T09:34:00.000Z,5806,361
2026-03-17T09:35:00.000Z,5489,408
2026-03-17T09:36:00.000Z,5566,319
2026-03-17T09:37:00.000Z,5281,320
2026-03-17T09:38:00.000Z,5033,273
2026-03-17T09:39:00.000Z,4909,330
2026-03-17T09:40:00.000Z,4776,422
2026-03-17T09:41:00.000Z,4550,477
2026-03-17T09:42:00.000Z,4524,423
2026-03-17T09:43:00.000Z,4244,417
2026-03-17T09:44:00.000Z,4086,300
2026-03-17T09:45:00.000Z,4007,296
2026-03-17T09:46:00.000Z,3855,311
2026-03-17T09:47:00.000Z,3612,324
2026-03-17T09:48:00.000Z,3483,309
2026-03-17T09:49:00.000Z,3262,388
2026-03-17T09:50:00.000Z,3230,403
2026-03-17T09:51:00.000Z,3020,353
2026-03-17T09:52:00.000Z,2844,419
2026-03-17T09:53:00.000Z,2632,282
2026-03-17T09:54:00.000Z,2494,402
2026-03-17T09:55:00.000Z,2353,385
2026-03-17T09:56:00.000Z,2157,435
2026-03-17T09:57:00.000Z,2004,444
2026-03-17T09:58:00.000Z,1865,334
2026-03-17T09:59:00.000Z,1669,394
