ts,p50_ms,p95_ms,error_rate,rps
2026-03-17T09:00:00.000Z,44.64,167.54,0.0016,352
2026-03-17T09:01:00.000Z,44.15,184.93,0.0022,318
2026-03-17T09:02:00.000Z,42.07,165.52,0.0015,328
2026-03-17T09:03:00.000Z,44.7,185.31,0.0021,358
2026-03-17T09:04:00.000Z,43.19,170.11,0.0022,354
2026-03-17T09:05:00.000Z,38.98,188.67,0.0012,327
2026-03-17T09:06:00.000Z,43.67,173.41,0.002,332
2026-03-17T09:07:00.000Z,43.84,190.64,0.0024,321
2026-03-17T09:08:00.000Z,43.75,184.58,0.002,328
2026-03-17T09:09:00.000Z,39.79,169.39,0.0021,358
2026-03-17T09:10:00.000Z,43.2,175.96,0.0023,332
2026-03-17T09:11:00.000Z,41.21,185.57,0.0015,321
2026-03-17T09:12:00.000Z,43.36,175.66,0.0017,331
2026-03-17T09:13:00.000Z,45.17,164.71,0.0016,328
2026-03-17T09:14:00.000Z,41.68,175.49,0.0018,349
2026-03-17T09:15:00.000Z,46.58,166.02,0.0025,356
2026-03-17T09:16:00.000Z,40.38,193.19,0.0022,360
2026-03-17T09:17:00.000Z,39.87,192.08,0.0025,328
2026-03-17T09:18:00.000Z,46,177.27,0.052,348
2026-03-17T09:19:00.000Z,37.97,188.06,0.0515,365
2026-03-17T09:20:00.000Z,39.02,181.47,0.0268,335
2026-03-17T09:21:00.000Z,41.06,171.11,0.0285,348
2026-03-17T09:22:00.000Z,45.91,176.41,0.0609,353
2026-03-17T09:23:00.000Z,46.94,194.89,0.0374,331
2026-03-17T09:24:00.000Z,38.61,184.09,0.031,364
2026-03-17T09:25:00.000Z,40.75,177.93,0.0558,316
2026-03-17T09:26:00.000Z,41.63,196.74,0.0418,362
2026-03-17T09:27:00.000Z,40.13,169.87,0.0407,334
2026-03-17T09:28:00.000Z,42.32,190.17,0.0459,336
2026-03-17T09:29:00.000Z,39.1,170.25,0.0577,328
2026-03-17T09:30:00.000Z,37.64,198.38,0.0339,333
2026-03-17T09:31:00.000Z,39.69,204.62,0.0326,346
2026-03-17T09:32:00.000Z,45.86,196.14,0.0455,319
2026-03-17T09:33:00.000Z,42.27,208.73,0.0282,347
2026-03-17T09:34:00.000Z,39.75,181.12,0.0548,358
2026-03-17T09:35:00.000Z,40.01,178.13,0.0394,346
2026-03-17T09:36:00.000Z,46.44,173.08,0.0534,333
2026-03-17T09:37:00.000Z,45.67,195.78,0.0313,345
2026-03-17T09:38:00.000Z,41.87,206.24,0.041,345
2026-03-17T09:39:00.000Z,46.77,202.62,0.0547,357
2026-03-17T09:40:00.000Z,44.96,206.57,0.0315,319
2026-03-17T09:41:00.000Z,39.11,185.21,0.0484,362
2026-03-17T09:42:00.000Z,46.53,195.73,0.0568,354
2026-03-17T09:43:00.000Z,41.79,178.04,0.032,325
2026-03-17T09:44:00.000Z,44.02,188.89,0.0314,333
2026-03-17T09:45:00.000Z,45.9,207.91,0.0412,322
2026-03-17T09:46:00.000Z,41.88,203,0.0444,351
2026-03-17T09:47:00.000Z,38.99,216.29,0.0532,319
2026-03-17T09:48:00.000Z,37.71,193.61,0.0402,334
2026-03-17T09:49:00.000Z,42.52,219.76,0.0311,313
2026-03-17T09:50:00.000Z,42.88,197.96,0.0491,353
2026-03-17T09:51:00.000Z,39.63,196.18,0.0553,354
2026-03-17T09:52:00.000Z,41.46,197.27,0.0398,365
2026-03-17T09:53:00.000Z,43.12,213.56,0.0591,348
2026-03-17T09:54:00.000Z,41.31,206.21,0.0354,331
2026-03-17T09:55:00.000Z,37.61,207.46,0.0285,321
2026-03-17T09:56:00.000Z,42.77,194.81,0.059,317
2026-03-17T09:57:00.000Z,44.15,203.2,0.0321,335
2026-03-17T09:58:00.000Z,43.92,207.87,0.0364,333
2026-03-17T09:59:00.000Z,39.76,204.01,0.0342,354
