ts,mean_query_ms,seq_scans_per_min,cpu_pct
2026-03-17T09:00:00.000Z,11.3,6,32.1
2026-03-17T09:01:00.000Z,11.9,2,31.8
2026-03-17T09:02:00.000Z,11.9,5,28.5
2026-03-17T09:03:00.000Z,11.4,3,32.9
2026-03-17T09:04:00.000Z,10.7,2,28.4
2026-03-17T09:05:00.000Z,11.5,6,28.4
2026-03-17T09:06:00.000Z,10.8,5,28.2
2026-03-17T09:07:00.000Z,9.9,4,29.1
2026-03-17T09:08:00.000Z,11.6,3,32.2
2026-03-17T09:09:00.000Z,12.1,4,29.7
2026-03-17T09:10:00.000Z,9.8,5,33.9
2026-03-17T09:11:00.000Z,10.6,2,30
2026-03-17T09:12:00.000Z,11.6,3,31.1
2026-03-17T09:13:00.000Z,10.5,5,31.4
2026-03-17T09:14:00.000Z,12.6,6,33.4
2026-03-17T09:15:00.000Z,12.6,5,29.7
2026-03-17T09:16:00.000Z,12.1,4,28.6
2026-03-17T09:17:00.000Z,9.4,4,28.2
2026-03-17T09:18:00.000Z,9.4,5,28.1
2026-03-17T09:19:00.000Z,12,4,31.2
2026-03-17T09:20:00.000Z,11.2,3,29.7
2026-03-17T09:21:00.000Z,12.1,3,28.1
2026-03-17T09:22:00.000Z,12.4,4,33.9
2026-03-17T09:23:00.000Z,10.1,5,29.9
2026-03-17T09:24:00.000Z,11.2,5,31
2026-03-17T09:25:00.000Z,10.7,5,28.1
2026-03-17T09:26:00.000Z,3421.3,560,31.9
2026-03-17T09:27:00.000Z,4181.4,870,34.7
2026-03-17T09:28:00.000Z,3182.2,638,31.6
2026-03-17T09:29:00.000Z,3846.2,998,35.5
2026-03-17T09:30:00.000Z,4073.7,851,40.8
2026-03-17T09:31:00.000Z,4254.4,1030,42.7
2026-03-17T09:32:00.000Z,3947.8,798,43.1
2026-03-17T09:33:00.000Z,3402.5,550,45
2026-03-17T09:34:00.000Z,4022.3,1043,47.7
2026-03-17T09:35:00.000Z,3857.1,892,46.3
2026-03-17T09:36:00.000Z,3589.9,522,42.6
2026-03-17T09:37:00.000Z,4033.4,740,49.7
2026-03-17T09:38:00.000Z,3635.1,797,49.7
2026-03-17T09:39:00.000Z,4250.1,981,51.1
2026-03-17T09:40:00.000Z,3802.3,1077,54.9
2026-03-17T09:41:00.000Z,4088.7,686,49.8
2026-03-17T09:42:00.000Z,3768.6,705,57.6
2026-03-17T09:43:00.000Z,3379.3,1011,62.2
2026-03-17T09:44:00.000Z,3762.6,893,62.2
2026-03-17T09:45:00.000Z,4198.9,815,61.3
2026-03-17T09:46:00.000Z,3269.1,1167,63.7
2026-03-17T09:47:00.000Z,4089.9,594,59.5
2026-03-17T09:48:00.000Z,3409.9,830,72
2026-03-17T09:49:00.000Z,4208.3,697,72.4
2026-03-17T09:50:00.000Z,4299.3,547,73
2026-03-17T09:51:00.000Z,3195.1,1028,70.1
2026-03-17T09:52:00.000Z,3414.3,1133,68.6
2026-03-17T09:53:00.000Z,3688.3,590,80.6
2026-03-17T09:54:00.000Z,3438.9,1147,83.1
2026-03-17T09:55:00.000Z,3998.2,1106,78.1
2026-03-17T09:56:00.000Z,4041.4,666,85.5
2026-03-17T09:57:00.000Z,3824.7,532,77.1
2026-03-17T09:58:00.000Z,4107.8,1163,88
2026-03-17T09:59:00.000Z,3249.5,776,77.6
