ts,p50_ms,p95_ms,error_rate,rps
2026-03-17T09:00:00.000Z,40.55,185.65,0.0015,365
2026-03-17T09:01:00.000Z,40.16,163.61,0.0022,319
2026-03-17T09:02:00.000Z,39.31,171.56,0.0027,366
2026-03-17T09:03:00.000Z,37.18,165.41,0.0018,333
2026-03-17T09:04:00.000Z,46.58,190.92,0.0016,355
2026-03-17T09:05:00.000Z,44.22,186.59,0.0016,341
2026-03-17T09:06:00.000Z,42.3,174.9,0.0027,318
2026-03-17T09:07:00.000Z,43.42,170.86,0.0023,323
2026-03-17T09:08:00.000Z,37.84,173.55,0.0016,347
2026-03-17T09:09:00.000Z,38.82,165.83,0.0025,320
2026-03-17T09:10:00.000Z,37.85,165.51,0.0018,319
2026-03-17T09:11:00.000Z,42,174.09,0.0023,366
2026-03-17T09:12:00.000Z,45.15,162.2,0.0027,319
2026-03-17T09:13:00.000Z,38.06,174.59,0.0015,322
2026-03-17T09:14:00.000Z,38.58,185.01,0.0025,324
2026-03-17T09:15:00.000Z,46.63,176.39,0.0028,341
2026-03-17T09:16:00.000Z,41.38,176.54,0.0025,367
2026-03-17T09:17:00.000Z,40.14,191.94,0.0014,349
2026-03-17T09:18:00.000Z,45.68,183.12,0.0017,359
2026-03-17T09:19:00.000Z,39.43,186.8,0.0026,314
2026-03-17T09:20:00.000Z,41.93,165.75,0.0013,345
2026-03-17T09:21:00.000Z,44.13,175.23,0.0013,354
2026-03-17T09:22:00.000Z,45.33,175.44,0.0018,363
2026-03-17T09:23:00.000Z,43.84,196.45,0.0016,326
2026-03-17T09:24:00.000Z,37.37,167.06,0.0015,335
2026-03-17T09:25:00.000Z,46.08,191.56,0.0026,361
2026-03-17T09:26:00.000Z,45.61,166.88,0.037,318
2026-03-17T09:27:00.000Z,49.03,238.33,0.03,359
2026-03-17T09:28:00.000Z,53.11,258.13,0.0255,321
2026-03-17T09:29:00.000Z,54.8,311.45,0.0355,348
2026-03-17T09:30:00.000Z,57.98,398.13,0.0419,358
2026-03-17T09:31:00.000Z,57.76,447.73,0.0234,364
2026-03-17T09:32:00.000Z,62.95,415.77,0.0226,319
2026-03-17T09:33:00.000Z,77.24,453.42,0.0219,339
2026-03-17T09:34:00.000Z,83.98,533.16,0.0482,362
2026-03-17T09:35:00.000Z,80.27,561.39,0.0343,364
2026-03-17T09:36:00.000Z,96.77,584.74,0.0357,356
2026-03-17T09:37:00.000Z,87.14,640.77,0.044,348
2026-03-17T09:38:00.000Z,100.78,720.43,0.0381,339
2026-03-17T09:39:00.000Z,109.4,730.09,0.0395,314
2026-03-17T09:40:00.000Z,101.67,837.11,0.0457,353
2026-03-17T09:41:00.000Z,103.5,856.35,0.0321,325
2026-03-17T09:42:00.000Z,112.26,893.62,0.0425,324
2026-03-17T09:43:00.000Z,124.95,866.82,0.0417,356
2026-03-17T09:44:00.000Z,141.04,1102.08,0.0287,346
2026-03-17T09:45:00.000Z,116.96,991.43,0.022,364
2026-03-17T09:46:00.000Z,138.33,1090.61,0.0476,362
2026-03-17T09:47:00.000Z,135.16,1129.96,0.0391,335
2026-03-17T09:48:00.000Z,140.01,1177.18,0.0274,315
2026-03-17T09:49:00.000Z,167.54,1189.39,0.0362,339
2026-03-17T09:50:00.000Z,162.28,1216.45,0.0355,363
2026-03-17T09:51:00.000Z,173.54,1202.84,0.0337,360
2026-03-17T09:52:00.000Z,156.85,1420.11,0.048,324
2026-03-17T09:53:00.000Z,152.39,1474.49,0.0354,323
2026-03-17T09:54:00.000Z,160.63,1467.94,0.029,345
2026-03-17T09:55:00.000Z,164.89,1548.74,0.0339,343
2026-03-17T09:56:00.000Z,192,1403.55,0.0486,352
2026-03-17T09:57:00.000Z,194.65,1733.08,0.0236,350
2026-03-17T09:58:00.000Z,213.79,1576.17,0.0452,320
2026-03-17T09:59:00.000Z,188.51,1709.44,0.0471,318
