ts,delivered_per_min,retry_queue_depth
2026-03-17T09:00:00.000Z,46,3
2026-03-17T09:01:00.000Z,49,2
2026-03-17T09:02:00.000Z,46,3
2026-03-17T09:03:00.000Z,45,2
2026-03-17T09:04:00.000Z,46,2
2026-03-17T09:05:00.000Z,41,3
2026-03-17T09:06:00.000Z,49,2
2026-03-17T09:07:00.000Z,46,2
2026-03-17T09:08:00.000Z,45,1
2026-03-17T09:09:00.000Z,42,3
2026-03-17T09:10:00.000Z,42,1
2026-03-17T09:11:00.000Z,50,2
2026-03-17T09:12:00.000Z,46,2
2026-03-17T09:13:00.000Z,41,3
2026-03-17T09:14:00.000Z,42,1
2026-03-17T09:15:00.000Z,49,1
2026-03-17T09:16:00.000Z,51,3
2026-03-17T09:17:00.000Z,51,1
2026-03-17T09:18:00.000Z,47,2
2026-03-17T09:19:00.000Z,49,2
2026-03-17T09:20:00.000Z,51,1
2026-03-17T09:21:00.000Z,45,3
2026-03-17T09:22:00.000Z,47,3
2026-03-17T09:23:00.000Z,41,2
2026-03-17T09:24:00.000Z,44,2
2026-03-17T09:25:00.000Z,50,2
2026-03-17T09:26:00.000Z,41,1
2026-03-17T09:27:00.000Z,47,2
2026-03-17T09:28:00.000Z,49,2
2026-03-17T09:29:00.000Z,49,1
2026-03-17T09:30:00.000Z,44,3
2026-03-17T09:31:00.000Z,41,16
2026-03-17T09:32:00.000Z,45,23
2026-03-17T09:33:00.000Z,44,46
2026-03-17T09:34:00.000Z,37,69
2026-03-17T09:35:00.000Z,40,35
2026-03-17T09:36:00.000Z,39,88
2026-03-17T09:37:00.000Z,35,78
2026-03-17T09:38:00.000Z,37,91
2026-03-17T09:39:00.000Z,29,147
2026-03-17T09:40:00.000Z,34,144
2026-03-17T09:41:00.000Z,26,96
2026-03-17T09:42:00.000Z,29,220
2026-03-17T09:43:00.000Z,24,127
2026-03-17T09:44:00.000Z,22,168
2026-03-17T09:45:00.000Z,22,121
2026-03-17T09:46:00.000Z,23,138
2026-03-17T09:47:00.000Z,22,282
2026-03-17T09:48:00.000Z,18,202
2026-03-17T09:49:00.000Z,16,271
2026-03-17T09:50:00.000Z,14,239
2026-03-17T09:51:00.000Z,13,347
2026-03-17T09:52:00.000Z,13,174
2026-03-17T09:53:00.000Z,10,287
2026-03-17T09:54:00.000Z,9,454
2026-03-17T09:55:00.000Z,7,204
2026-03-17T09:56:00.000Z,6,495
2026-03-17T09:57:00.000Z,4,313
2026-03-17T09:58:00.000Z,3,402
2026-03-17T09:59:00.000Z,1,245
