ts,p50_ms,p95_ms,error_rate,rps
2026-03-17T09:00:00.000Z,39.92,188.17,0.0024,343
2026-03-17T09:01:00.000Z,39.49,189.36,0.0015,343
2026-03-17T09:02:00.000Z,39.25,173.08,0.0027,353
2026-03-17T09:03:00.000Z,37.18,171.9,0.0022,359
2026-03-17T09:04:00.000Z,46.34,181.25,0.0026,343
2026-03-17T09:05:00.000Z,40.4,177.2,0.0017,325
2026-03-17T09:06:00.000Z,44.79,185.5,0.0015,367
2026-03-17T09:07:00.000Z,45.21,185.71,0.0021,318
2026-03-17T09:08:00.000Z,39.39,177.01,0.0027,347
2026-03-17T09:09:00.000Z,43.56,194.87,0.0012,355
2026-03-17T09:10:00.000Z,40.03,185.55,0.0014,356
2026-03-17T09:11:00.000Z,43.8,170.7,0.0024,315
2026-03-17T09:12:00.000Z,43.67,181.68,0.0015,325
2026-03-17T09:13:00.000Z,45.21,176.86,0.0018,343
2026-03-17T09:14:00.000Z,37.73,182.24,0.0026,335
2026-03-17T09:15:00.000Z,46.83,180.44,0.0014,322
2026-03-17T09:16:00.000Z,42.13,173.06,0.0013,344
2026-03-17T09:17:00.000Z,43.15,163.46,0.0025,327
2026-03-17T09:18:00.000Z,39.18,172.91,0.0022,318
2026-03-17T09:19:00.000Z,42.2,172.2,0.0015,320
2026-03-17T09:20:00.000Z,39.61,162.24,0.0017,355
2026-03-17T09:21:00.000Z,41.32,183.81,0.0017,321
2026-03-17T09:22:00.000Z,45.51,185.73,0.0028,349
2026-03-17T09:23:00.000Z,44.38,162.53,0.002,318
2026-03-17T09:24:00.000Z,40.56,163.86,0.0021,332
2026-03-17T09:25:00.000Z,44.78,194.64,0.0019,318
2026-03-17T09:26:00.000Z,38.07,184.01,0.0026,328
2026-03-17T09:27:00.000Z,40.8,196.94,0.0022,351
2026-03-17T09:28:00.000Z,41.69,197.57,0.0014,351
2026-03-17T09:29:00.000Z,42.07,165.89,0.0015,349
2026-03-17T09:30:00.000Z,42.76,167.76,0.0043,342
2026-03-17T09:31:00.000Z,43.06,179.9,0.0037,352
2026-03-17T09:32:00.000Z,45.97,164.55,0.0079,333
2026-03-17T09:33:00.000Z,38.79,195.81,0.0081,365
2026-03-17T09:34:00.000Z,38.45,180.93,0.0052,342
2026-03-17T09:35:00.000Z,46.58,185.9,0.0045,346
2026-03-17T09:36:00.000Z,39.93,196.6,0.0039,352
2026-03-17T09:37:00.000Z,45.07,177.27,0.0079,333
2026-03-17T09:38:00.000Z,37.59,179.26,0.0044,339
2026-03-17T09:39:00.000Z,46.45,172.71,0.0072,351
2026-03-17T09:40:00.000Z,45.17,194.09,0.0054,364
2026-03-17T09:41:00.000Z,42.23,187.83,0.0041,322
2026-03-17T09:42:00.000Z,45.63,177.36,0.0048,335
2026-03-17T09:43:00.000Z,41.03,192.38,0.0078,354
2026-03-17T09:44:00.000Z,45.44,182.44,0.0068,321
2026-03-17T09:45:00.000Z,46.49,166.59,0.0061,331
2026-03-17T09:46:00.000Z,42.8,179.27,0.0049,321
2026-03-17T09:47:00.000Z,43.92,167.49,0.0046,329
2026-03-17T09:48:00.000Z,44.07,202.62,0.0069,314
2026-03-17T09:49:00.000Z,39.69,171.14,0.0056,329
2026-03-17T09:50:00.000Z,39.66,181.43,0.0063,342
2026-03-17T09:51:00.000Z,42.03,181.53,0.0069,356
2026-03-17T09:52:00.000Z,44.27,200.01,0.0063,365
2026-03-17T09:53:00.000Z,40.04,204.28,0.0074,328
2026-03-17T09:54:00.000Z,44.18,196.22,0.0055,325
2026-03-17T09:55:00.000Z,37.92,198.45,0.0081,352
2026-03-17T09:56:00.000Z,45.19,203.61,0.0036,329
2026-03-17T09:57:00.000Z,37.24,189.66,0.0058,360
2026-03-17T09:58:00.000Z,45.1,196.14,0.0069,357
2026-03-17T09:59:00.000Z,45.39,202.55,0.0074,325
