ts,cpu_pct,mean_query_ms
2026-03-17T09:00:00.000Z,28.4,9.2
2026-03-17T09:01:00.000Z,26.1,7.7
2026-03-17T09:02:00.000Z,30.5,8.7
2026-03-17T09:03:00.000Z,25.6,10.2
2026-03-17T09:04:00.000Z,26.8,7.9
2026-03-17T09:05:00.000Z,29.3,7.9
2026-03-17T09:06:00.000Z,25.8,9.7
2026-03-17T09:07:00.000Z,28.6,9.1
2026-03-17T09:08:00.000Z,26.8,8.8
2026-03-17T09:09:00.000Z,25.2,8.6
2026-03-17T09:10:00.000Z,28.3,8.4
2026-03-17T09:11:00.000Z,29.8,10.1
2026-03-17T09:12:00.000Z,27.2,8.2
2026-03-17T09:13:00.000Z,27.2,10.2
2026-03-17T09:14:00.000Z,29.1,9.8
2026-03-17T09:15:00.000Z,27.8,8.5
2026-03-17T09:16:00.000Z,30.4,10.2
2026-03-17T09:17:00.000Z,29.9,9.4
2026-03-17T09:18:00.000Z,29.7,9.3
2026-03-17T09:19:00.000Z,28.2,8.1
2026-03-17T09:20:00.000Z,28,10.2
2026-03-17T09:21:00.000Z,30,9.9
2026-03-17T09:22:00.000Z,28.4,7.7
2026-03-17T09:23:00.000Z,28.8,9.9
2026-03-17T09:24:00.000Z,29.6,7.8
2026-03-17T09:25:00.000Z,30.7,9
2026-03-17T09:26:00.000Z,27.4,10.1
2026-03-17T09:27:00.000Z,27.2,8.7
2026-03-17T09:28:00.000Z,25.3,8.7
2026-03-17T09:29:00.000Z,29.6,7.7
2026-03-17T09:30:00.000Z,29.7,8
2026-03-17T09:31:00.000Z,30.8,8.3
2026-03-17T09:32:00.000Z,30,9.3
2026-03-17T09:33:00.000Z,29.9,10.1
2026-03-17T09:34:00.000Z,30.4,10.1
2026-03-17T09:35:00.000Z,27.8,7.8
2026-03-17T09:36:00.000Z,28.7,8.2
2026-03-17T09:37:00.000Z,27.5,8
2026-03-17T09:38:00.000Z,28.8,9.3
2026-03-17T09:39:00.000Z,30.1,8.3
2026-03-17T09:40:00.000Z,28.5,8
2026-03-17T09:41:00.000Z,29.3,8.1
2026-03-17T09:42:00.000Z,30.8,9.3
2026-03-17T09:43:00.000Z,26.8,8.6
2026-03-17T09:44:00.000Z,30,8.6
2026-03-17T09:45:00.000Z,29.4,8.3
2026-03-17T09:46:00.000Z,27.4,9
2026-03-17T09:47:00.000Z,25.4,7.8
2026-03-17T09:48:00.000Z,26.2,9.9
2026-03-17T09:49:00.000Z,29.1,9.5
2026-03-17T09:50:00.000Z,29.9,8.9
2026-03-17T09:51:00.000Z,29.2,8.6
2026-03-17T09:52:00.000Z,28.8,7.8
2026-03-17T09:53:00.000Z,28.4,9
2026-03-17T09:54:00.000Z,29.4,7.7
2026-03-17T09:55:00.000Z,30.5,9
2026-03-17T09:56:00.000Z,28.5,8.1
2026-03-17T09:57:00.000Z,26.2,8
2026-03-17T09:58:00.000Z,25.9,9.2
2026-03-17T09:59:00.000Z,30.3,7.8
