ts,p50_ms,p95_ms,error_rate,rps
2026-03-17T09:00:00.000Z,40.98,181.16,0.0024,336
2026-03-17T09:01:00.000Z,45.07,189.71,0.0021,367
2026-03-17T09:02:00.000Z,42.94,184.94,0.0015,348
2026-03-17T09:03:00.000Z,45.2,188.61,0.0015,364
2026-03-17T09:04:00.000Z,46.76,163.98,0.0019,355
2026-03-17T09:05:00.000Z,46.68,170.24,0.0028,355
2026-03-17T09:06:00.000Z,44.58,192.73,0.0018,353
2026-03-17T09:07:00.000Z,41.62,180.71,0.0022,333
2026-03-17T09:08:00.000Z,38.99,171.34,0.0019,362
2026-03-17T09:09:00.000Z,42.49,166.84,0.0022,313
2026-03-17T09:10:00.000Z,43.8,197.6,0.002,337
2026-03-17T09:11:00.000Z,45.07,197.65,0.0013,314
2026-03-17T09:12:00.000Z,43.7,197.21,0.0028,324
2026-03-17T09:13:00.000Z,44.22,173.5,0.0013,338
2026-03-17T09:14:00.000Z,42.03,191.96,0.0016,346
2026-03-17T09:15:00.000Z,37.34,172.51,0.0028,349
2026-03-17T09:16:00.000Z,42.72,190.6,0.0013,362
2026-03-17T09:17:00.000Z,37.2,190.38,0.0015,361
2026-03-17T09:18:00.000Z,46.88,169.47,0.0026,355
2026-03-17T09:19:00.000Z,44.34,178.16,0.0014,327
2026-03-17T09:20:00.000Z,46.91,193.64,0.0014,321
2026-03-17T09:21:00.000Z,45.84,181.91,0.0667,316
2026-03-17T09:22:00.000Z,40.72,228.09,0.072,314
2026-03-17T09:23:00.000Z,43.14,261.68,0.0497,320
2026-03-17T09:24:00.000Z,54.88,271.61,0.0496,348
2026-03-17T09:25:00.000Z,49.35,284.28,0.0559,358
2026-03-17T09:26:00.000Z,61.97,344.44,0.0594,338
2026-03-17T09:27:00.000Z,67.51,358.54,0.0332,365
2026-03-17T09:28:00.000Z,67.4,422.98,0.0513,325
2026-03-17T09:29:00.000Z,65.13,457.26,0.0475,354
2026-03-17T09:30:00.000Z,66.15,485.74,0.0694,363
2026-03-17T09:31:00.000Z,80.7,523.17,0.0632,338
2026-03-17T09:32:00.000Z,68.67,567.95,0.0573,331
2026-03-17T09:33:00.000Z,73.43,570.8,0.0711,332
2026-03-17T09:34:00.000Z,81.44,602.3,0.0535,323
2026-03-17T09:35:00.000Z,81.77,654.29,0.0567,350
2026-03-17T09:36:00.000Z,82.65,597.11,0.0413,366
2026-03-17T09:37:00.000Z,100.19,732.28,0.0687,313
2026-03-17T09:38:00.000Z,107.53,716.31,0.044,328
2026-03-17T09:39:00.000Z,104.37,770.46,0.0697,322
2026-03-17T09:40:00.000Z,94.75,775.99,0.0723,326
2026-03-17T09:41:00.000Z,115.51,841.99,0.0453,320
2026-03-17T09:42:00.000Z,99.09,914.63,0.0698,322
2026-03-17T09:43:00.000Z,101.36,923.11,0.0557,320
2026-03-17T09:44:00.000Z,119.3,977.55,0.0425,331
2026-03-17T09:45:00.000Z,128.09,982.26,0.0675,339
2026-03-17T09:46:00.000Z,136,897.69,0.0695,336
2026-03-17T09:47:00.000Z,136.87,1081.4,0.0587,350
2026-03-17T09:48:00.000Z,140.77,1154.04,0.0441,359
2026-03-17T09:49:00.000Z,117.88,1032.67,0.0525,337
2026-03-17T09:50:00.000Z,141.79,1136.37,0.0422,362
2026-03-17T09:51:00.000Z,138.47,1143.59,0.0698,340
2026-03-17T09:52:00.000Z,128.88,1078.8,0.0556,344
2026-03-17T09:53:00.000Z,152.66,1176.98,0.0526,345
2026-03-17T09:54:00.000Z,164.06,1280.19,0.0626,327
2026-03-17T09:55:00.000Z,168.4,1312.92,0.0521,358
2026-03-17T09:56:00.000Z,146.69,1359.65,0.0446,367
2026-03-17T09:57:00.000Z,167.07,1386.24,0.0409,352
2026-03-17T09:58:00.000Z,172.77,1429.5,0.0385,328
2026-03-17T09:59:00.000Z,181.77,1468.19,0.0422,315
