ts,active,idle,waiting
2026-03-17T09:00:00.000Z,10,26,0
2026-03-17T09:01:00.000Z,11,26,0
2026-03-17T09:02:00.000Z,12,32,0
2026-03-17T09:03:00.000Z,11,26,0
2026-03-17T09:04:00.000Z,13,28,0
2026-03-17T09:05:00.000Z,10,31,0
2026-03-17T09:06:00.000Z,10,31,0
2026-03-17T09:07:00.000Z,14,28,0
2026-03-17T09:08:00.000Z,14,27,0
2026-03-17T09:09:00.000Z,10,26,0
2026-03-17T09:10:00.000Z,14,27,0
2026-03-17T09:11:00.000Z,11,27,0
2026-03-17T09:12:00.000Z,10,29,0
2026-03-17T09:13:00.000Z,11,24,0
2026-03-17T09:14:00.000Z,14,32,0
2026-03-17T09:15:00.000Z,14,24,0
2026-03-17T09:16:00.000Z,14,28,0
2026-03-17T09:17:00.000Z,10,26,0
2026-03-17T09:18:00.000Z,10,30,0
2026-03-17T09:19:00.000Z,12,31,0
2026-03-17T09:20:00.000Z,13,25,0
2026-03-17T09:21:00.000Z,40,27,0
2026-03-17T09:22:00.000Z,42,27,0
2026-03-17T09:23:00.000Z,40,26,0
2026-03-17T09:24:00.000Z,40,22,0
2026-03-17T09:25:00.000Z,41,27,0
2026-03-17T09:26:00.000Z,34,22,0
2026-03-17T09:27:00.000Z,45,24,0
2026-03-17T09:28:00.000Z,37,24,0
2026-03-17T09:29:00.000Z,38,24,0
2026-03-17T09:30:00.000Z,42,19,0
2026-03-17T09:31:00.000Z,47,19,0
2026-03-17T09:32:00.000Z,44,23,0
2026-03-17T09:33:00.000Z,37,22,0
2026-03-17T09:34:00.000Z,35,19,0
2026-03-17T09:35:00.000Z,42,19,0
2026-03-17T09:36:00.000Z,42,17,0
2026-03-17T09:37:00.000Z,42,14,0
2026-03-17T09:38:00.000Z,40,16,0
2026-03-17T09:39:00.000Z,33,17,0
2026-03-17T09:40:00.000Z,34,15,0
2026-03-17T09:41:00.000Z,47,13,0
2026-03-17T09:42:00.000Z,32,12,0
2026-03-17T09:43:00.000Z,44,14,0
2026-03-17T09:44:00.000Z,34,10,0
2026-03-17T09:45:00.000Z,46,10,0
2026-03-17T09:46:00.000Z,34,9,0
2026-03-17T09:47:00.000Z,43,11,0
2026-03-17T09:48:00.000Z,32,10,0
2026-03-17T09:49:00.000Z,38,8,0
2026-03-17T09:50:00.000Z,41,7,0
2026-03-17T09:51:00.000Z,45,7,0
2026-03-17T09:52:00.000Z,35,6,0
2026-03-17T09:53:00.000Z,37,5,0
2026-03-17T09:54:00.000Z,44,4,0
2026-03-17T09:55:00.000Z,41,4,0
2026-03-17T09:56:00.000Z,36,3,0
2026-03-17T09:57:00.000Z,44,2,0
2026-03-17T09:58:00.000Z,36,2,0
2026-03-17T09:59:00.000Z,33,1,0
