ts,p50_ms,p95_ms,error_rate,rps
2026-03-17T09:00:00.000Z,43.82,192.26,0.0022,322
2026-03-17T09:01:00.000Z,46.94,186.6,0.0018,316
2026-03-17T09:02:00.000Z,37.62,179.66,0.002,342
2026-03-17T09:03:00.000Z,45.27,196.68,0.0013,356
2026-03-17T09:04:00.000Z,37.21,167.73,0.0027,337
2026-03-17T09:05:00.000Z,40.04,189.55,0.0024,342
2026-03-17T09:06:00.000Z,45.15,187.45,0.0027,343
2026-03-17T09:07:00.000Z,41.57,170.05,0.0021,353
2026-03-17T09:08:00.000Z,39.8,164.82,0.0022,331
2026-03-17T09:09:00.000Z,44.91,197.79,0.0022,362
2026-03-17T09:10:00.000Z,42.75,176.57,0.0018,330
2026-03-17T09:11:00.000Z,41.63,192.48,0.0021,326
2026-03-17T09:12:00.000Z,37.11,179.26,0.0017,365
2026-03-17T09:13:00.000Z,40.38,173.2,0.0016,357
2026-03-17T09:14:00.000Z,43.56,180.61,0.0145,349
2026-03-17T09:15:00.000Z,38.89,200.32,0.0204,313
2026-03-17T09:16:00.000Z,45.47,174.28,0.0159,352
2026-03-17T09:17:00.000Z,45.31,198.78,0.0125,341
2026-03-17T09:18:00.000Z,45.76,191.78,0.0244,321
2026-03-17T09:19:00.000Z,39.91,187.59,0.0245,330
2026-03-17T09:20:00.000Z,42.19,213.44,0.0174,324
2026-03-17T09:21:00.000Z,41,213.04,0.0246,329
2026-03-17T09:22:00.000Z,40.3,204.58,0.0129,338
2026-03-17T09:23:00.000Z,43.05,207.2,0.021,332
2026-03-17T09:24:00.000Z,41.86,197.73,0.0167,364
2026-03-17T09:25:00.000Z,44.89,232.06,0.025,321
2026-03-17T09:26:00.000Z,39.6,229.65,0.0118,336
2026-03-17T09:27:00.000Z,42.76,208.1,0.0124,361
2026-03-17T09:28:00.000Z,40.91,224.53,0.0185,331
2026-03-17T09:29:00.000Z,44.19,240.48,0.0115,363
2026-03-17T09:30:00.000Z,39.19,224.94,0.0128,334
2026-03-17T09:31:00.000Z,40.64,226.02,0.0205,345
2026-03-17T09:32:00.000Z,40.17,258.91,0.0181,340
2026-03-17T09:33:00.000Z,40.02,258.23,0.0113,343
2026-03-17T09:34:00.000Z,44.22,241.62,0.0125,364
2026-03-17T09:35:00.000Z,45.93,249.23,0.0213,360
2026-03-17T09:36:00.000Z,39.58,253.5,0.0251,331
2026-03-17T09:37:00.000Z,43.4,271.1,0.0157,320
2026-03-17T09:38:00.000Z,41.97,268.78,0.022,357
2026-03-17T09:39:00.000Z,41.07,270.48,0.0132,352
2026-03-17T09:40:00.000Z,41.47,252.41,0.016,345
2026-03-17T09:41:00.000Z,41.86,282.09,0.0125,317
2026-03-17T09:42:00.000Z,40.7,279.73,0.0213,326
2026-03-17T09:43:00.000Z,40.96,271.87,0.0146,332
2026-03-17T09:44:00.000Z,43.23,311.78,0.0248,354
2026-03-17T09:45:00.000Z,37.9,317.5,0.0122,341
2026-03-17T09:46:00.000Z,43.16,280.76,0.0204,324
2026-03-17T09:47:00.000Z,38.95,303.88,0.0205,319
2026-03-17T09:48:00.000Z,41,308.42,0.0233,366
2026-03-17T09:49:00.000Z,40.16,311.34,0.0136,367
2026-03-17T09:50:00.000Z,43.41,319.28,0.0194,353
2026-03-17T09:51:00.000Z,42.23,322.42,0.0228,319
2026-03-17T09:52:00.000Z,42.36,311.93,0.015,363
2026-03-17T09:53:00.000Z,42.84,296.41,0.0239,364
2026-03-17T09:54:00.000Z,40.37,314.93,0.0227,316
2026-03-17T09:55:00.000Z,42.49,342.3,0.0129,328
2026-03-17T09:56:00.000Z,46.26,319.45,0.0235,324
2026-03-17T09:57:00.000Z,43.56,301.9,0.0195,337
2026-03-17T09:58:00.000Z,45.12,325.26,0.0151,351
2026-03-17T09:59:00.000Z,43.03,313.85,0.016,330
