ts,rss_mb,restarts_total,jobs_per_min
2026-03-17T09:00:00.000Z,431,0,55
2026-03-17T09:01:00.000Z,421,0,65
2026-03-17T09:02:00.000Z,410,0,59
2026-03-17T09:03:00.000Z,407,0,66
2026-03-17T09:04:00.000Z,407,0,62
2026-03-17T09:05:00.000Z,421,0,65
2026-03-17T09:06:00.000Z,421,0,57
2026-03-17T09:07:00.000Z,430,0,62
2026-03-17T09:08:00.000Z,420,0,57
2026-03-17T09:09:00.000Z,418,0,60
2026-03-17T09:10:00.000Z,417,0,66
2026-03-17T09:11:00.000Z,417,0,67
2026-03-17T09:12:00.000Z,423,0,59
2026-03-17T09:13:00.000Z,432,0,57
2026-03-17T09:14:00.000Z,423,0,56
2026-03-17T09:15:00.000Z,464,0,56
2026-03-17T09:16:00.000Z,489,0,59
2026-03-17T09:17:00.000Z,527,0,60
2026-03-17T09:18:00.000Z,546,0,58
2026-03-17T09:19:00.000Z,591,0,61
2026-03-17T09:20:00.000Z,615,0,58
2026-03-17T09:21:00.000Z,681,0,55
2026-03-17T09:22:00.000Z,670,0,58
2026-03-17T09:23:00.000Z,741,0,50
2026-03-17T09:24:00.000Z,756,0,48
2026-03-17T09:25:00.000Z,763,0,51
2026-03-17T09:26:00.000Z,801,0,55
2026-03-17T09:27:00.000Z,829,0,53
2026-03-17T09:28:00.000Z,875,0,54
2026-03-17T09:29:00.000Z,890,0,45
2026-03-17T09:30:00.000Z,987,0,50
2026-03-17T09:31:00.000Z,1012,0,50
2026-03-17T09:32:00.000Z,1004,0,45
2026-03-17T09:33:00.000Z,1025,0,50
2026-03-17T09:34:00.000Z,1115,0,43
2026-03-17T09:35:00.000Z,1091,0,46
2026-03-17T09:36:00.000Z,1150,0,42
2026-03-17T09:37:00.000Z,1191,0,47
2026-03-17T09:38:00.000Z,1210,0,45
2026-03-17T09:39:00.000Z,1299,0,42
2026-03-17T09:40:00.000Z,1252,0,44
2026-03-17T09:41:00.000Z,1300,0,45
2026-03-17T09:42:00.000Z,1367,0,40
2026-03-17T09:43:00.000Z,1359,0,37
2026-03-17T09:44:00.000Z,1466,0,36
2026-03-17T09:45:00.000Z,1511,0,41
2026-03-17T09:46:00.000Z,1502,0,37
2026-03-17T09:47:00.000Z,1507,0,38
2026-03-17T09:48:00.000Z,1568,0,35
2026-03-17T09:49:00.000Z,1629,0,32
2026-03-17T09:50:00.000Z,1653,0,37
2026-03-17T09:51:00.000Z,1634,0,34
2026-03-17T09:52:00.000Z,1757,0,35
2026-03-17T09:53:00.000Z,1679,0,31
2026-03-17T09:54:00.000Z,1701,0,31
2026-03-17T09:55:00.000Z,1855,0,29
2026-03-17T09:56:00.000Z,1760,0,32
2026-03-17T09:57:00.000Z,1904,0,30
2026-03-17T09:58:00.000Z,1929,0,27
2026-03-17T09:59:00.000Z,1888,0,27
