ts,api3_used_pct,api1_used_pct,api2_used_pct
2026-03-17T09:00:00.000Z,60.6,44.2,46.4
2026-03-17T09:01:00.000Z,61.4,43.7,45.8
2026-03-17T09:02:00.000Z,61.4,43.7,46.4
2026-03-17T09:03:00.000Z,60.4,44.2,45.7
2026-03-17T09:04:00.000Z,60.6,44.4,46
2026-03-17T09:05:00.000Z,60.5,43.8,45.9
2026-03-17T09:06:00.000Z,60.5,44,46.1
2026-03-17T09:07:00.000Z,60.5,43.9,45.9
2026-03-17T09:08:00.000Z,60.7,44.2,46
2026-03-17T09:09:00.000Z,60.8,43.6,46.1
2026-03-17T09:10:00.000Z,61,44,45.8
2026-03-17T09:11:00.000Z,60.7,43.9,45.9
2026-03-17T09:12:00.000Z,61.3,44.3,45.6
2026-03-17T09:13:00.000Z,61.5,44.1,46
2026-03-17T09:14:00.000Z,60.9,43.9,46
2026-03-17T09:15:00.000Z,60.6,43.9,46
2026-03-17T09:16:00.000Z,60.8,43.6,45.6
2026-03-17T09:17:00.000Z,60.9,44,46.4
2026-03-17T09:18:00.000Z,61.5,44.3,46.3
2026-03-17T09:19:00.000Z,60.7,44.2,45.8
2026-03-17T09:20:00.000Z,61.1,44,46
2026-03-17T09:21:00.000Z,61.1,43.7,45.8
2026-03-17T09:22:00.000Z,60.9,43.6,45.8
2026-03-17T09:23:00.000Z,61.1,44,45.8
2026-03-17T09:24:00.000Z,61,44.3,46.4
2026-03-17T09:25:00.000Z,61,43.8,45.9
2026-03-17T09:26:00.000Z,61.6,44,45.8
2026-03-17T09:27:00.000Z,61.5,44.1,45.6
2026-03-17T09:28:00.000Z,60.6,44.3,45.7
2026-03-17T09:29:00.000Z,61,43.7,46.2
2026-03-17T09:30:00.000Z,60.4,44.2,46
2026-03-17T09:31:00.000Z,61.3,44.2,45.9
2026-03-17T09:32:00.000Z,60.7,43.8,46.2
2026-03-17T09:33:00.000Z,60.6,44.4,45.6
2026-03-17T09:34:00.000Z,60.9,44.3,46.4
2026-03-17T09:35:00.000Z,62.5,44.2,46.3
2026-03-17T09:36:00.000Z,63.6,43.9,45.9
2026-03-17T09:37:00.000Z,66,43.9,45.9
2026-03-17T09:38:00.000Z,67.6,43.8,46.1
2026-03-17T09:39:00.000Z,69.4,43.6,46
2026-03-17T09:40:00.000Z,69.9,44.1,45.8
2026-03-17T09:41:00.000Z,71.7,44.4,45.8
2026-03-17T09:42:00.000Z,73.2,44.4,45.7
2026-03-17T09:43:00.000Z,75.7,44.4,45.9
2026-03-17T09:44:00.000Z,76.5,44.3,45.7
2026-03-17T09:45:00.000Z,77.8,44.4,45.6
2026-03-17T09:46:00.000Z,79.5,44.3,45.9
2026-03-17T09:47:00.000Z,80.9,43.7,46.1
2026-03-17T09:48:00.000Z,82.2,43.7,46.3
2026-03-17T09:49:00.000Z,84.3,44.1,45.7
2026-03-17T09:50:00.000Z,85.3,44,46.2
2026-03-17T09:51:00.000Z,86.7,44.4,45.9
2026-03-17T09:52:00.000Z,88.3,44.1,45.6
2026-03-17T09:53:00.000Z,90.8,43.7,46
2026-03-17T09:54:00.000Z,92.2,44.4,46.2
2026-03-17T09:55:00.000Z,94.4,44.3,45.9
2026-03-17T09:56:00.000Z,95.8,44.2,46.1
2026-03-17T09:57:00.000Z,96.1,44.1,45.8
2026-03-17T09:58:00.000Z,98.7,43.9,46.4
2026-03-17T09:59:00.000Z,100.7,44.1,46.3
