ts,p50_ms,p95_ms,error_rate,rps
2026-03-17T09:00:00.000Z,38.58,186.21,0.0022,337
2026-03-17T09:01:00.000Z,46.74,184.45,0.002,325
2026-03-17T09:02:00.000Z,45.96,174.78,0.0022,350
2026-03-17T09:03:00.000Z,46.67,164.51,0.0015,352
2026-03-17T09:04:00.000Z,38.69,175.13,0.0012,347
2026-03-17T09:05:00.000Z,40.55,194.38,0.0015,329
2026-03-17T09:06:00.000Z,40.14,189.71,0.0015,362
2026-03-17T09:07:00.000Z,45.72,191.92,0.0027,367
2026-03-17T09:08:00.000Z,37.81,193.64,0.0013,338
2026-03-17T09:09:00.000Z,37.33,181.24,0.0016,342
2026-03-17T09:10:00.000Z,46.9,166.88,0.0025,363
2026-03-17T09:11:00.000Z,39.63,173.2,0.0026,319
2026-03-17T09:12:00.000Z,42.4,182.64,0.0027,349
2026-03-17T09:13:00.000Z,38.59,174.58,0.0019,333
2026-03-17T09:14:00.000Z,44.3,190.98,0.0017,317
2026-03-17T09:15:00.000Z,37.96,191.79,0.0028,355
2026-03-17T09:16:00.000Z,46.29,174.09,0.0015,358
2026-03-17T09:17:00.000Z,40.27,163.56,0.002,332
2026-03-17T09:18:00.000Z,37.05,174.84,0.0022,344
2026-03-17T09:19:00.000Z,41.27,192.62,0.0018,330
2026-03-17T09:20:00.000Z,39.84,172.74,0.0025,366
2026-03-17T09:21:00.000Z,42.08,169.01,0.0012,337
2026-03-17T09:22:00.000Z,44.34,186.92,0.0013,328
2026-03-17T09:23:00.000Z,39.18,164.2,0.0022,353
2026-03-17T09:24:00.000Z,39.57,197.45,0.0021,342
2026-03-17T09:25:00.000Z,44.93,192.75,0.0021,337
2026-03-17T09:26:00.000Z,39.46,182.26,0.0012,331
2026-03-17T09:27:00.000Z,43.79,188.86,0.0015,356
2026-03-17T09:28:00.000Z,46.91,175.69,0.0014,350
2026-03-17T09:29:00.000Z,45.15,194,0.0022,355
2026-03-17T09:30:00.000Z,39.62,189.44,0.0027,348
2026-03-17T09:31:00.000Z,39.72,172.22,0.0017,342
2026-03-17T09:32:00.000Z,40.98,194.38,0.0015,351
2026-03-17T09:33:00.000Z,41.33,165.83,0.0012,317
2026-03-17T09:34:00.000Z,44.58,186.88,0.0339,329
2026-03-17T09:35:00.000Z,46.83,183.31,0.0293,340
2026-03-17T09:36:00.000Z,45.37,175.93,0.0353,341
2026-03-17T09:37:00.000Z,40.19,178.9,0.0344,356
2026-03-17T09:38:00.000Z,42.71,182.66,0.0273,357
2026-03-17T09:39:00.000Z,40.32,205.41,0.0294,348
2026-03-17T09:40:00.000Z,44.2,215.08,0.0456,314
2026-03-17T09:41:00.000Z,40.52,217.44,0.0207,337
2026-03-17T09:42:00.000Z,45,196.58,0.0359,340
2026-03-17T09:43:00.000Z,39.39,194.17,0.0294,345
2026-03-17T09:44:00.000Z,38.76,202.44,0.0379,346
2026-03-17T09:45:00.000Z,46.05,224.47,0.0308,344
2026-03-17T09:46:00.000Z,44.76,211.79,0.04,344
2026-03-17T09:47:00.000Z,37.22,225.95,0.0374,327
2026-03-17T09:48:00.000Z,39.23,206.47,0.0472,365
2026-03-17T09:49:00.000Z,44.46,238.99,0.0214,337
2026-03-17T09:50:00.000Z,46.34,226.88,0.0226,358
2026-03-17T09:51:00.000Z,46.89,222.48,0.0258,353
2026-03-17T09:52:00.000Z,40.74,247.05,0.0323,358
2026-03-17T09:53:00.000Z,40.44,235.72,0.0335,347
2026-03-17T09:54:00.000Z,40.66,218.37,0.0357,327
2026-03-17T09:55:00.000Z,39.53,237.13,0.0296,317
2026-03-17T09:56:00.000Z,40.7,253.91,0.025,331
2026-03-17T09:57:00.000Z,42.49,248.48,0.0399,329
2026-03-17T09:58:00.000Z,42.15,254.6,0.0462,333
2026-03-17T09:59:00.000Z,41.67,273.49,0.0222,335
