ts,hit_rate,origin_qps
2026-03-17T09:00:00.000Z,0.9417,23
2026-03-17T09:01:00.000Z,0.9224,22
2026-03-17T09:02:00.000Z,0.9387,24
2026-03-17T09:03:00.000Z,0.9217,19
2026-03-17T09:04:00.000Z,0.9281,19
2026-03-17T09:05:00.000Z,0.937,22
2026-03-17T09:06:00.000Z,0.9378,21
2026-03-17T09:07:00.000Z,0.9252,20
2026-03-17T09:08:00.000Z,0.9317,21
2026-03-17T09:09:00.000Z,0.9425,21
2026-03-17T09:10:00.000Z,0.9501,21
2026-03-17T09:11:00.000Z,0.932,22
2026-03-17T09:12:00.000Z,0.9426,24
2026-03-17T09:13:00.000Z,0.9348,24
2026-03-17T09:14:00.000Z,0.9328,23
2026-03-17T09:15:00.000Z,0.931,19
2026-03-17T09:16:00.000Z,0.9335,20
2026-03-17T09:17:00.000Z,0.9458,23
2026-03-17T09:18:00.000Z,0.9337,25
2026-03-17T09:19:00.000Z,0.9543,22
2026-03-17T09:20:00.000Z,0.9438,19
2026-03-17T09:21:00.000Z,0.9454,24
2026-03-17T09:22:00.000Z,0.922,22
2026-03-17T09:23:00.000Z,0.9534,22
2026-03-17T09:24:00.000Z,0.929,25
2026-03-17T09:25:00.000Z,0.9479,576
2026-03-17T09:26:00.000Z,0.9076,547
2026-03-17T09:27:00.000Z,0.8932,635
2026-03-17T09:28:00.000Z,0.8775,509
2026-03-17T09:29:00.000Z,0.8206,522
2026-03-17T09:30:00.000Z,0.8038,530
2026-03-17T09:31:00.000Z,0.7743,540
2026-03-17T09:32:00.000Z,0.7626,112
2026-03-17T09:33:00.000Z,0.7263,116
2026-03-17T09:34:00.000Z,0.7031,95
2026-03-17T09:35:00.000Z,0.6832,89
2026-03-17T09:36:00.000Z,0.6584,113
2026-03-17T09:37:00.000Z,0.6231,116
2026-03-17T09:38:00.000Z,0.5997,92
2026-03-17T09:39:00.000Z,0.5781,94
2026-03-17T09:40:00.000Z,0.5519,90
2026-03-17T09:41:00.000Z,0.5157,91
2026-03-17T09:42:00.000Z,0.5049,114
2026-03-17T09:43:00.000Z,0.4638,106
2026-03-17T09:44:00.000Z,0.4471,96
2026-03-17T09:45:00.000Z,0.4178,97
2026-03-17T09:46:00.000Z,0.3948,95
2026-03-17T09:47:00.000Z,0.3587,106
2026-03-17T09:48:00.000Z,0.3433,103
2026-03-17T09:49:00.000Z,0.3165,100
2026-03-17T09:50:00.000Z,0.2882,105
2026-03-17T09:51:00.000Z,0.2568,116
2026-03-17T09:52:00.000Z,0.2334,119
2026-03-17T09:53:00.000Z,0.2057,99
2026-03-17T09:54:00.000Z,0.1841,119
2026-03-17T09:55:00.000Z,0.1568,103
2026-03-17T09:56:00.000Z,0.1318,97
2026-03-17T09:57:00.000Z,0.1061,108
2026-03-17T09:58:00.000Z,0.0787,91
2026-03-17T09:59:00.000Z,0.0528,99
