ts,p50_ms,p95_ms,error_rate,rps
2026-03-17T09:00:00.000Z,40.6,172.57,0.0013,362
2026-03-17T09:01:00.000Z,46.37,169.3,0.0024,318
2026-03-17T09:02:00.000Z,38.74,165.36,0.0026,355
2026-03-17T09:03:00.000Z,44.93,172.81,0.0022,329
2026-03-17T09:04:00.000Z,46.2,170.31,0.0028,341
2026-03-17T09:05:00.000Z,45.03,191.49,0.0024,334
2026-03-17T09:06:00.000Z,37.07,184.33,0.0016,341
2026-03-17T09:07:00.000Z,41.22,183.39,0.0019,315
2026-03-17T09:08:00.000Z,41.65,184.79,0.0025,332
2026-03-17T09:09:00.000Z,38.16,183.41,0.0015,330
2026-03-17T09:10:00.000Z,46.54,162.77,0.002,362
2026-03-17T09:11:00.000Z,44.85,196.29,0.0018,351
2026-03-17T09:12:00.000Z,44.01,165.19,0.002,323
2026-03-17T09:13:00.000Z,37.11,173.02,0.0016,357
2026-03-17T09:14:00.000Z,46.44,177.41,0.0012,367
2026-03-17T09:15:00.000Z,37.65,183.6,0.0027,355
2026-03-17T09:16:00.000Z,38.77,174.68,0.0016,347
2026-03-17T09:17:00.000Z,42.84,173.11,0.0014,330
2026-03-17T09:18:00.000Z,41.15,166.1,0.0027,352
2026-03-17T09:19:00.000Z,38.73,162.71,0.0018,347
2026-03-17T09:20:00.000Z,38.33,181.48,0.0025,323
2026-03-17T09:21:00.000Z,37.96,170.45,0.0017,361
2026-03-17T09:22:00.000Z,44.59,166.73,0.0024,320
2026-03-17T09:23:00.000Z,42.43,166.08,0.0016,317
2026-03-17T09:24:00.000Z,38.41,185.23,0.0018,318
2026-03-17T09:25:00.000Z,46.93,169.63,0.0635,346
2026-03-17T09:26:00.000Z,43.1,214.23,0.0781,330
2026-03-17T09:27:00.000Z,46.13,247.21,0.0389,366
2026-03-17T09:28:00.000Z,51.82,248.51,0.0811,360
2026-03-17T09:29:00.000Z,48.18,265.89,0.0808,327
2026-03-17T09:30:00.000Z,55.76,346.07,0.0623,319
2026-03-17T09:31:00.000Z,55.01,333.45,0.0725,345
2026-03-17T09:32:00.000Z,65.38,354.95,0.065,346
2026-03-17T09:33:00.000Z,68.07,375.48,0.0815,343
2026-03-17T09:34:00.000Z,59.09,387.38,0.0617,315
2026-03-17T09:35:00.000Z,63.63,491.8,0.0745,365
2026-03-17T09:36:00.000Z,68.95,497.16,0.0603,358
2026-03-17T09:37:00.000Z,69.5,483.54,0.0717,350
2026-03-17T09:38:00.000Z,67.58,563.86,0.0729,366
2026-03-17T09:39:00.000Z,80.13,538.47,0.0795,324
2026-03-17T09:40:00.000Z,79.53,624.25,0.053,355
2026-03-17T09:41:00.000Z,75,632.6,0.0852,334
2026-03-17T09:42:00.000Z,82.33,588.33,0.0711,317
2026-03-17T09:43:00.000Z,91.18,730.45,0.0713,320
2026-03-17T09:44:00.000Z,82.06,652.48,0.0789,334
2026-03-17T09:45:00.000Z,86.27,724.92,0.0821,325
2026-03-17T09:46:00.000Z,103.66,783.72,0.0842,320
2026-03-17T09:47:00.000Z,96.88,836.6,0.0746,362
2026-03-17T09:48:00.000Z,111.24,790.77,0.0703,364
2026-03-17T09:49:00.000Z,105.46,889.88,0.0677,337
2026-03-17T09:50:00.000Z,115.84,911.74,0.0838,352
2026-03-17T09:51:00.000Z,117.69,851.4,0.0746,349
2026-03-17T09:52:00.000Z,120.75,919.33,0.0675,362
2026-03-17T09:53:00.000Z,119.8,877.88,0.0435,342
2026-03-17T09:54:00.000Z,124.13,1044.22,0.086,321
2026-03-17T09:55:00.000Z,108.96,1041.41,0.0478,318
2026-03-17T09:56:00.000Z,132.44,942.2,0.0796,322
2026-03-17T09:57:00.000Z,128.29,990.69,0.0604,346
2026-03-17T09:58:00.000Z,142.69,1029.7,0.0488,349
2026-03-17T09:59:00.000Z,128.74,1029.72,0.0528,333
