ts,supplier_p95_ms,supplier_error_rate,inflight_requests
2026-03-17T09:00:00.000Z,197,0.0008,32
2026-03-17T09:01:00.000Z,190,0.0008,30
2026-03-17T09:02:00.000Z,202,0.0006,37
2026-03-17T09:03:00.000Z,202,0.0005,31
2026-03-17T09:04:00.000Z,233,0.001,37
2026-03-17T09:05:00.000Z,218,0.0006,36
2026-03-17T09:06:00.000Z,215,0.0006,33
2026-03-17T09:07:00.000Z,200,0.0006,38
2026-03-17T09:08:00.000Z,194,0.0006,36
2026-03-17T09:09:00.000Z,195,0.0005,36
2026-03-17T09:10:00.000Z,207,0.0014,36
2026-03-17T09:11:00.000Z,220,0.0013,38
2026-03-17T09:12:00.000Z,211,0.0006,32
2026-03-17T09:13:00.000Z,216,0.0014,33
2026-03-17T09:14:00.000Z,202,0.0014,36
2026-03-17T09:15:00.000Z,213,0.0008,38
2026-03-17T09:16:00.000Z,207,0.0007,36
2026-03-17T09:17:00.000Z,231,0.0009,30
2026-03-17T09:18:00.000Z,208,0.0006,33
2026-03-17T09:19:00.000Z,7791,0.001,34
2026-03-17T09:20:00.000Z,9409,0.0026,37
2026-03-17T09:21:00.000Z,8542,0.0047,46
2026-03-17T09:22:00.000Z,8583,0.0041,55
2026-03-17T09:23:00.000Z,8927,0.0131,59
2026-03-17T09:24:00.000Z,7915,0.0139,68
2026-03-17T09:25:00.000Z,8703,0.0123,77
2026-03-17T09:26:00.000Z,7747,0.0137,90
2026-03-17T09:27:00.000Z,8448,0.0231,94
2026-03-17T09:28:00.000Z,8240,0.0171,97
2026-03-17T09:29:00.000Z,7916,0.015,95
2026-03-17T09:30:00.000Z,8698,0.0166,109
2026-03-17T09:31:00.000Z,8246,0.0378,125
2026-03-17T09:32:00.000Z,8876,0.0149,125
2026-03-17T09:33:00.000Z,8047,0.0387,129
2026-03-17T09:34:00.000Z,7733,0.0347,149
2026-03-17T09:35:00.000Z,9372,0.0499,148
2026-03-17T09:36:00.000Z,8021,0.0333,166
2026-03-17T09:37:00.000Z,7609,0.0431,143
2026-03-17T09:38:00.000Z,8789,0.0385,182
2026-03-17T09:39:00.000Z,7612,0.0522,154
2026-03-17T09:40:00.000Z,9491,0.0649,160
2026-03-17T09:41:00.000Z,9501,0.0525,197
2026-03-17T09:42:00.000Z,8937,0.0271,201
2026-03-17T09:43:00.000Z,7813,0.0532,195
2026-03-17T09:44:00.000Z,8030,0.0785,206
2026-03-17T09:45:00.000Z,7778,0.0649,202
2026-03-17T09:46:00.000Z,7981,0.035,208
2026-03-17T09:47:00.000Z,9546,0.0391,205
2026-03-17T09:48:00.000Z,8559,0.0338,230
2026-03-17T09:49:00.000Z,9423,0.0669,246
2026-03-17T09:50:00.000Z,7641,0.0586,231
2026-03-17T09:51:00.000Z,7705,0.0601,248
2026-03-17T09:52:00.000Z,8208,0.104,253
2026-03-17T09:53:00.000Z,8603,0.0564,269
2026-03-17T09:54:00.000Z,7922,0.044,279
2026-03-17T09:55:00.000Z,9088,0.0755,283
2026-03-17T09:56:00.000Z,8892,0.0783,277
2026-03-17T09:57:00.000Z,9258,0.1254,262
2026-03-17T09:58:00.000Z,8162,0.1168,313
2026-03-17T09:59:00.000Z,7754,0.0986,282
