ts,p50_ms,p95_ms,error_rate,rps
2026-03-17T09:00:00.000Z,47.01,177.1,0.0021,331
2026-03-17T09:01:00.000Z,44.94,178.09,0.0019,356
2026-03-17T09:02:00.000Z,41.63,180.46,0.0023,327
2026-03-17T09:03:00.000Z,40.92,172.13,0.0023,358
2026-03-17T09:04:00.000Z,44.1,186.36,0.0014,338
2026-03-17T09:05:00.000Z,44.51,194.85,0.0027,322
2026-03-17T09:06:00.000Z,40.56,167.76,0.0027,342
2026-03-17T09:07:00.000Z,43.11,193.95,0.0021,356
2026-03-17T09:08:00.000Z,43.73,180.43,0.0028,334
2026-03-17T09:09:00.000Z,41.04,177.08,0.0018,349
2026-03-17T09:10:00.000Z,41.74,168.63,0.0018,364
2026-03-17T09:11:00.000Z,42.85,195.99,0.0026,348
2026-03-17T09:12:00.000Z,38.99,185.71,0.0019,355
2026-03-17T09:13:00.000Z,43.83,169.27,0.0021,321
2026-03-17T09:14:00.000Z,46.02,195.82,0.0013,345
2026-03-17T09:15:00.000Z,39.61,192.11,0.0017,346
2026-03-17T09:16:00.000Z,38.63,183.83,0.0014,341
2026-03-17T09:17:00.000Z,44.99,162.95,0.0015,343
2026-03-17T09:18:00.000Z,38.71,173.16,0.0014,356
2026-03-17T09:19:00.000Z,38.21,182.54,0.0451,361
2026-03-17T09:20:00.000Z,46.07,207.17,0.0476,342
2026-03-17T09:21:00.000Z,46.21,247.88,0.049,317
2026-03-17T09:22:00.000Z,47.37,289.96,0.032,323
2026-03-17T09:23:00.000Z,53.73,306.01,0.0298,317
2026-03-17T09:24:00.000Z,51.47,327.02,0.0318,325
2026-03-17T09:25:00.000Z,57.05,386.05,0.0571,350
2026-03-17T09:26:00.000Z,61.81,388.61,0.0502,336
2026-03-17T09:27:00.000Z,59.98,471.07,0.0441,364
2026-03-17T09:28:00.000Z,63.49,433.35,0.0494,351
2026-03-17T09:29:00.000Z,77.67,486.85,0.0299,328
2026-03-17T09:30:00.000Z,75.11,527.18,0.0435,342
2026-03-17T09:31:00.000Z,85.1,576.35,0.035,323
2026-03-17T09:32:00.000Z,85.65,581.58,0.0266,327
2026-03-17T09:33:00.000Z,88.72,685.62,0.0542,335
2026-03-17T09:34:00.000Z,96,708.65,0.0513,366
2026-03-17T09:35:00.000Z,97.38,736.07,0.0282,322
2026-03-17T09:36:00.000Z,91.76,672.55,0.0416,319
2026-03-17T09:37:00.000Z,101.27,684.57,0.0323,355
2026-03-17T09:38:00.000Z,107.24,838.8,0.0462,334
2026-03-17T09:39:00.000Z,97.76,889.04,0.0557,362
2026-03-17T09:40:00.000Z,121.12,811.49,0.0584,339
2026-03-17T09:41:00.000Z,115.38,837.44,0.0397,328
2026-03-17T09:42:00.000Z,109.14,933.27,0.0482,348
2026-03-17T09:43:00.000Z,114.43,884.5,0.0414,337
2026-03-17T09:44:00.000Z,132.79,1009.06,0.0337,357
2026-03-17T09:45:00.000Z,137.24,1089.07,0.0525,361
2026-03-17T09:46:00.000Z,136.64,991.16,0.0437,321
2026-03-17T09:47:00.000Z,117.07,1117.09,0.0385,359
2026-03-17T09:48:00.000Z,130.66,1172.98,0.0531,334
2026-03-17T09:49:00.000Z,128.29,1060.93,0.0384,320
2026-03-17T09:50:00.000Z,149.18,1078.85,0.0303,328
2026-03-17T09:51:00.000Z,157.35,1299.87,0.0398,336
2026-03-17T09:52:00.000Z,130.5,1164.77,0.0408,313
2026-03-17T09:53:00.000Z,168.84,1180.92,0.0282,335
2026-03-17T09:54:00.000Z,155.9,1186.13,0.0473,335
2026-03-17T09:55:00.000Z,167.76,1344.48,0.038,346
2026-03-17T09:56:00.000Z,153.28,1321.93,0.0574,334
2026-03-17T09:57:00.000Z,176.18,1532.57,0.0512,334
2026-03-17T09:58:00.000Z,170.46,1477.73,0.0292,324
2026-03-17T09:59:00.000Z,179.03,1312.71,0.03,318
