ts,servfail_per_min,resolve_p95_ms
2026-03-17T09:00:00.000Z,0,4
2026-03-17T09:01:00.000Z,0,4
2026-03-17T09:02:00.000Z,0,5
2026-03-17T09:03:00.000Z,0,4
2026-03-17T09:04:00.000Z,0,5
2026-03-17T09:05:00.000Z,0,4
2026-03-17T09:06:00.000Z,0,4
2026-03-17T09:07:00.000Z,0,5
2026-03-17T09:08:00.000Z,0,3
2026-03-17T09:09:00.000Z,0,4
2026-03-17T09:10:00.000Z,0,4
2026-03-17T09:11:00.000Z,0,3
2026-03-17T09:12:00.000Z,0,4
2026-03-17T09:13:00.000Z,0,4
2026-03-17T09:14:00.000Z,0,4
2026-03-17T09:15:00.000Z,0,4
2026-03-17T09:16:00.000Z,0,2789
2026-03-17T09:17:00.000Z,0,2763
2026-03-17T09:18:00.000Z,0,2460
2026-03-17T09:19:00.000Z,0,2885
2026-03-17T09:20:00.000Z,0,2665
2026-03-17T09:21:00.000Z,0,2546
2026-03-17T09:22:00.000Z,0,2134
2026-03-17T09:23:00.000Z,0,2325
2026-03-17T09:24:00.000Z,0,2737
2026-03-17T09:25:00.000Z,0,2466
2026-03-17T09:26:00.000Z,0,2437
2026-03-17T09:27:00.000Z,0,2890
2026-03-17T09:28:00.000Z,0,2372
2026-03-17T09:29:00.000Z,0,2945
2026-03-17T09:30:00.000Z,0,2693
2026-03-17T09:31:00.000Z,0,2002
2026-03-17T09:32:00.000Z,0,2765
2026-03-17T09:33:00.000Z,0,2944
2026-03-17T09:34:00.000Z,0,2953
2026-03-17T09:35:00.000Z,0,2929
2026-03-17T09:36:00.000Z,0,2232
2026-03-17T09:37:00.000Z,0,2610
2026-03-17T09:38:00.000Z,0,2856
2026-03-17T09:39:00.000Z,0,2379
2026-03-17T09:40:00.000Z,0,2658
2026-03-17T09:41:00.000Z,0,2675
2026-03-17T09:42:00.000Z,0,2248
2026-03-17T09:43:00.000Z,0,2339
2026-03-17T09:44:00.000Z,0,2441
2026-03-17T09:45:00.000Z,0,2773
2026-03-17T09:46:00.000Z,0,2036
2026-03-17T09:47:00.000Z,0,2511
2026-03-17T09:48:00.000Z,0,2657
2026-03-17T09:49:00.000Z,0,2358
2026-03-17T09:50:00.000Z,0,2356
2026-03-17T09:51:00.000Z,0,2656
2026-03-17T09:52:00.000Z,0,2018
2026-03-17T09:53:00.000Z,0,2274
2026-03-17T09:54:00.000Z,0,2555
2026-03-17T09:55:00.000Z,0,2306
2026-03-17T09:56:00.000Z,0,2277
2026-03-17T09:57:00.000Z,0,2852
2026-03-17T09:58:00.000Z,0,2351
2026-03-17T09:59:00.000Z,0,2128
