ts,p50_ms,p95_ms,error_rate,rps
2026-03-17T09:00:00.000Z,38.02,167.88,0.0028,320
2026-03-17T09:01:00.000Z,37.17,174.67,0.0018,367
2026-03-17T09:02:00.000Z,43.86,166.88,0.0026,338
2026-03-17T09:03:00.000Z,43.37,178.14,0.0024,351
2026-03-17T09:04:00.000Z,45.11,171.32,0.0018,316
2026-03-17T09:05:00.000Z,38.57,176.38,0.002,336
2026-03-17T09:06:00.000Z,37.32,195.24,0.0015,331
2026-03-17T09:07:00.000Z,43.29,187.18,0.0016,318
2026-03-17T09:08:00.000Z,37.84,168.68,0.0021,326
2026-03-17T09:09:00.000Z,38.25,180.83,0.0027,362
2026-03-17T09:10:00.000Z,43.38,196.54,0.0019,325
2026-03-17T09:11:00.000Z,38.02,171.4,0.0022,349
2026-03-17T09:12:00.000Z,42.71,164.43,0.0022,351
2026-03-17T09:13:00.000Z,43.28,192,0.0017,355
2026-03-17T09:14:00.000Z,46.36,163.75,0.0023,324
2026-03-17T09:15:00.000Z,38.52,196.43,0.0027,325
2026-03-17T09:16:00.000Z,39.79,189.97,0.0733,328
2026-03-17T09:17:00.000Z,46.98,198.22,0.0361,336
2026-03-17T09:18:00.000Z,42.56,207.4,0.046,331
2026-03-17T09:19:00.000Z,41.41,200.47,0.0721,318
2026-03-17T09:20:00.000Z,41.69,189.93,0.0551,339
2026-03-17T09:21:00.000Z,40.28,199.12,0.056,360
2026-03-17T09:22:00.000Z,42.37,232.82,0.0425,328
2026-03-17T09:23:00.000Z,38.23,214.18,0.0594,322
2026-03-17T09:24:00.000Z,41.67,236.29,0.065,337
2026-03-17T09:25:00.000Z,40.44,251.84,0.0532,355
2026-03-17T09:26:00.000Z,45,219.82,0.0758,336
2026-03-17T09:27:00.000Z,41.47,253.36,0.0772,360
2026-03-17T09:28:00.000Z,48.54,261.51,0.0566,348
2026-03-17T09:29:00.000Z,46.8,280.16,0.0357,352
2026-03-17T09:30:00.000Z,42.49,254.01,0.0529,334
2026-03-17T09:31:00.000Z,41.77,267.75,0.0529,361
2026-03-17T09:32:00.000Z,49.47,262.17,0.0365,362
2026-03-17T09:33:00.000Z,49.48,293.3,0.0486,357
2026-03-17T09:34:00.000Z,42.98,305.13,0.0511,338
2026-03-17T09:35:00.000Z,41.97,305.38,0.0698,338
2026-03-17T09:36:00.000Z,49.81,280.14,0.0633,335
2026-03-17T09:37:00.000Z,50.12,294.93,0.0381,354
2026-03-17T09:38:00.000Z,44.9,317.44,0.0573,365
2026-03-17T09:39:00.000Z,45.93,328.58,0.0718,322
2026-03-17T09:40:00.000Z,48.43,325.61,0.068,318
2026-03-17T09:41:00.000Z,51.1,323.32,0.0613,356
2026-03-17T09:42:00.000Z,51.26,348.17,0.0692,320
2026-03-17T09:43:00.000Z,49.05,332.26,0.0389,328
2026-03-17T09:44:00.000Z,43.88,376.61,0.0747,341
2026-03-17T09:45:00.000Z,47.53,324.21,0.04,366
2026-03-17T09:46:00.000Z,48.29,334.86,0.0572,331
2026-03-17T09:47:00.000Z,51.54,345.01,0.0574,339
2026-03-17T09:48:00.000Z,46.08,384.09,0.0759,316
2026-03-17T09:49:00.000Z,44.44,368.84,0.0549,345
2026-03-17T09:50:00.000Z,52.02,359.73,0.0739,345
2026-03-17T09:51:00.000Z,43.97,402.38,0.0692,358
2026-03-17T09:52:00.000Z,50.57,399.57,0.0499,345
2026-03-17T09:53:00.000Z,47.19,383.04,0.0365,337
2026-03-17T09:54:00.000Z,43.82,369.54,0.0711,337
2026-03-17T09:55:00.000Z,54.79,397.91,0.0478,334
2026-03-17T09:56:00.000Z,48.17,425.17,0.0467,362
2026-03-17T09:57:00.000Z,45.74,384.76,0.0748,333
2026-03-17T09:58:00.000Z,48.03,390.45,0.0404,325
2026-03-17T09:59:00.000Z,50.57,463.12,0.0644,343
