ts,p50_ms,p95_ms,error_rate,rps
2026-03-17T09:00:00.000Z,40.7,179.85,0.0012,344
2026-03-17T09:01:00.000Z,44.61,170.38,0.0026,341
2026-03-17T09:02:00.000Z,41.5,185.11,0.0014,331
2026-03-17T09:03:00.000Z,42.17,174.98,0.0014,323
2026-03-17T09:04:00.000Z,45.79,195,0.0017,341
2026-03-17T09:05:00.000Z,44.76,167.83,0.0019,356
2026-03-17T09:06:00.000Z,43.78,185.04,0.0017,367
2026-03-17T09:07:00.000Z,40.89,191.78,0.0018,362
2026-03-17T09:08:00.000Z,42.65,164.15,0.002,366
2026-03-17T09:09:00.000Z,39.56,166.99,0.0015,358
2026-03-17T09:10:00.000Z,45.06,189.83,0.0014,349
2026-03-17T09:11:00.000Z,46.02,196.1,0.0026,336
2026-03-17T09:12:00.000Z,41,164.43,0.0017,354
2026-03-17T09:13:00.000Z,38.66,174.2,0.0016,347
2026-03-17T09:14:00.000Z,39.27,173.27,0.0012,336
2026-03-17T09:15:00.000Z,39.88,174.41,0.0027,319
2026-03-17T09:16:00.000Z,41.3,192.58,0.0027,338
2026-03-17T09:17:00.000Z,42.19,177.92,0.002,358
2026-03-17T09:18:00.000Z,39.64,196.47,0.0022,352
2026-03-17T09:19:00.000Z,39.9,171.41,0.0028,317
2026-03-17T09:20:00.000Z,44.44,172.26,0.0022,334
2026-03-17T09:21:00.000Z,45.29,189.74,0.0026,355
2026-03-17T09:22:00.000Z,42.31,187.55,0.0021,342
2026-03-17T09:23:00.000Z,39.1,190.92,0.0016,348
2026-03-17T09:24:00.000Z,39.34,171.3,0.0013,365
2026-03-17T09:25:00.000Z,40.72,186.24,0.0019,366
2026-03-17T09:26:00.000Z,40.91,170.87,0.0017,339
2026-03-17T09:27:00.000Z,44.89,178.61,0.0027,335
2026-03-17T09:28:00.000Z,38.95,177.75,0.058,348
2026-03-17T09:29:00.000Z,40.79,175.71,0.0573,339
2026-03-17T09:30:00.000Z,40.64,174.61,0.0438,364
2026-03-17T09:31:00.000Z,38.72,188.85,0.0504,353
2026-03-17T09:32:00.000Z,43.4,190,0.0595,330
2026-03-17T09:33:00.000Z,39.88,228.23,0.0526,360
2026-03-17T09:34:00.000Z,38.91,230.85,0.0428,334
2026-03-17T09:35:00.000Z,45.92,213.69,0.0319,328
2026-03-17T09:36:00.000Z,43.32,229.22,0.0671,317
2026-03-17T09:37:00.000Z,46.56,244.74,0.0554,365
2026-03-17T09:38:00.000Z,46.74,244.77,0.0312,335
2026-03-17T09:39:00.000Z,44.96,282.22,0.0512,355
2026-03-17T09:40:00.000Z,40.51,240.14,0.0306,325
2026-03-17T09:41:00.000Z,42.42,245.47,0.0356,315
2026-03-17T09:42:00.000Z,43.83,266.9,0.0409,361
2026-03-17T09:43:00.000Z,42.62,262.87,0.0642,317
2026-03-17T09:44:00.000Z,39.05,279.03,0.0616,350
2026-03-17T09:45:00.000Z,45.54,282.84,0.0633,354
2026-03-17T09:46:00.000Z,47.66,324.23,0.0431,340
2026-03-17T09:47:00.000Z,46.04,289.86,0.0531,327
2026-03-17T09:48:00.000Z,39.88,316.98,0.0464,329
2026-03-17T09:49:00.000Z,49.07,306.99,0.0629,359
2026-03-17T09:50:00.000Z,43.15,345.69,0.0667,324
2026-03-17T09:51:00.000Z,50.37,370.14,0.0444,354
2026-03-17T09:52:00.000Z,46.09,344.35,0.0433,331
2026-03-17T09:53:00.000Z,44.39,321.82,0.0513,363
2026-03-17T09:54:00.000Z,42.71,393.82,0.0321,359
2026-03-17T09:55:00.000Z,47.02,379.58,0.0565,328
2026-03-17T09:56:00.000Z,50.77,398.46,0.0289,342
2026-03-17T09:57:00.000Z,47.6,353.03,0.0619,319
2026-03-17T09:58:00.000Z,44.44,371.62,0.0326,333
2026-03-17T09:59:00.000Z,47.23,376.97,0.0477,330
