ts,lock_waits_per_min,longest_txn_s,cpu_pct
2026-03-17T09:00:00.000Z,1,0.3,35.6
2026-03-17T09:01:00.000Z,1,0.5,35.9
2026-03-17T09:02:00.000Z,1,0.4,35.2
2026-03-17T09:03:00.000Z,1,0.4,32.6
2026-03-17T09:04:00.000Z,1,0.3,35.3
2026-03-17T09:05:00.000Z,1,0.4,33.3
2026-03-17T09:06:00.000Z,1,0.3,34.2
2026-03-17T09:07:00.000Z,1,0.4,34.3
2026-03-17T09:08:00.000Z,1,0.4,31.7
2026-03-17T09:09:00.000Z,1,0.3,35.7
2026-03-17T09:10:00.000Z,1,0.3,32
2026-03-17T09:11:00.000Z,1,0.3,33.1
2026-03-17T09:12:00.000Z,1,0.4,34.5
2026-03-17T09:13:00.000Z,1,0.3,33.6
2026-03-17T09:14:00.000Z,1,0.4,34.4
2026-03-17T09:15:00.000Z,1,0.5,36.1
2026-03-17T09:16:00.000Z,1,0.4,32.4
2026-03-17T09:17:00.000Z,1,0.5,34.5
2026-03-17T09:18:00.000Z,1,0.3,34.3
2026-03-17T09:19:00.000Z,1,0.3,36.5
2026-03-17T09:20:00.000Z,1,0.3,32.8
2026-03-17T09:21:00.000Z,1,0.4,34.4
2026-03-17T09:22:00.000Z,1,0.3,34.1
2026-03-17T09:23:00.000Z,1,0.3,35.5
2026-03-17T09:24:00.000Z,1,0.4,36.1
2026-03-17T09:25:00.000Z,1,0.3,34.9
2026-03-17T09:26:00.000Z,1,0.5,35.3
2026-03-17T09:27:00.000Z,1,0.5,34.2
2026-03-17T09:28:00.000Z,1,0.4,35
2026-03-17T09:29:00.000Z,1,0.3,36.6
2026-03-17T09:30:00.000Z,1,0.3,32.7
2026-03-17T09:31:00.000Z,81,0.5,32
2026-03-17T09:32:00.000Z,142,13.2,36.7
2026-03-17T09:33:00.000Z,70,26.6,33
2026-03-17T09:34:00.000Z,106,39.5,35.1
2026-03-17T09:35:00.000Z,138,39.4,33.5
2026-03-17T09:36:00.000Z,104,45.7,32.3
2026-03-17T09:37:00.000Z,140,78.4,32.9
2026-03-17T09:38:00.000Z,64,51.8,34.6
2026-03-17T09:39:00.000Z,113,88.5,35
2026-03-17T09:40:00.000Z,105,104.2,33.3
2026-03-17T09:41:00.000Z,100,123.2,31.9
2026-03-17T09:42:00.000Z,61,133.9,33.7
2026-03-17T09:43:00.000Z,95,139.9,32.3
2026-03-17T09:44:00.000Z,123,163.4,36.7
2026-03-17T09:45:00.000Z,49,123.4,33
2026-03-17T09:46:00.000Z,99,167,35.2
2026-03-17T09:47:00.000Z,106,164.2,33.9
2026-03-17T09:48:00.000Z,70,209.8,36.3
2026-03-17T09:49:00.000Z,114,225.5,34.7
2026-03-17T09:50:00.000Z,108,179.1,36
2026-03-17T09:51:00.000Z,136,233.9,34.8
2026-03-17T09:52:00.000Z,53,234.4,33.2
2026-03-17T09:53:00.000Z,123,278.2,33.6
2026-03-17T09:54:00.000Z,131,296.4,31.3
2026-03-17T09:55:00.000Z,51,221.9,32.4
2026-03-17T09:56:00.000Z,143,288.3,34
2026-03-17T09:57:00.000Z,120,336.8,33.9
2026-03-17T09:58:00.000Z,56,353.1,36.3
2026-03-17T09:59:00.000Z,115,304.4,32
