ts,p50_ms,p95_ms,error_rate,rps
2026-03-17T09:00:00.000Z,46.8,176.62,0.0022,339
2026-03-17T09:01:00.000Z,39,177.35,0.0028,321
2026-03-17T09:02:00.000Z,40.96,164.29,0.0014,361
2026-03-17T09:03:00.000Z,45.69,172.09,0.0024,363
2026-03-17T09:04:00.000Z,42.96,169.3,0.0018,363
2026-03-17T09:05:00.000Z,43.68,177.21,0.0025,318
2026-03-17T09:06:00.000Z,38.95,165.88,0.0027,326
2026-03-17T09:07:00.000Z,44.08,179.46,0.002,339
2026-03-17T09:08:00.000Z,38.34,192.29,0.0022,320
2026-03-17T09:09:00.000Z,45.34,166.58,0.002,329
2026-03-17T09:10:00.000Z,41.26,168.94,0.002,329
2026-03-17T09:11:00.000Z,44.27,188.5,0.002,317
2026-03-17T09:12:00.000Z,40.73,184.87,0.0025,316
2026-03-17T09:13:00.000Z,40.68,165.9,0.0013,338
2026-03-17T09:14:00.000Z,42.91,162.8,0.0025,336
2026-03-17T09:15:00.000Z,44,173.32,0.0012,352
2026-03-17T09:16:00.000Z,38.21,182.84,0.0022,344
2026-03-17T09:17:00.000Z,45.64,180.45,0.0017,346
2026-03-17T09:18:00.000Z,43.01,189.99,0.0022,327
2026-03-17T09:19:00.000Z,37.88,181.98,0.0019,366
2026-03-17T09:20:00.000Z,43.38,196.59,0.0016,322
2026-03-17T09:21:00.000Z,40,184.51,0.0027,329
2026-03-17T09:22:00.000Z,38.57,179.08,0.0015,331
2026-03-17T09:23:00.000Z,38.68,181.36,0.0018,347
2026-03-17T09:24:00.000Z,45.72,191.59,0.0015,345
2026-03-17T09:25:00.000Z,40.09,194.31,0.0021,342
2026-03-17T09:26:00.000Z,43.3,162.51,0.0024,364
2026-03-17T09:27:00.000Z,41.81,168.83,0.0026,351
2026-03-17T09:28:00.000Z,45.44,164.67,0.0015,331
2026-03-17T09:29:00.000Z,46.51,162.19,0.0023,356
2026-03-17T09:30:00.000Z,39.3,178.66,0.0022,348
2026-03-17T09:31:00.000Z,41.95,186.21,0.0507,325
2026-03-17T09:32:00.000Z,45.26,211.64,0.0446,327
2026-03-17T09:33:00.000Z,46.34,243.46,0.0277,342
2026-03-17T09:34:00.000Z,47.16,261.26,0.0318,362
2026-03-17T09:35:00.000Z,53.83,326.53,0.0541,345
2026-03-17T09:36:00.000Z,48.91,337.75,0.0637,350
2026-03-17T09:37:00.000Z,64.9,337.95,0.0627,355
2026-03-17T09:38:00.000Z,64.96,352.22,0.0329,326
2026-03-17T09:39:00.000Z,56.68,430.47,0.0561,349
2026-03-17T09:40:00.000Z,59.07,464.27,0.0387,314
2026-03-17T09:41:00.000Z,70.64,442.74,0.0282,330
2026-03-17T09:42:00.000Z,77.23,511.46,0.0556,352
2026-03-17T09:43:00.000Z,78.65,535.79,0.0443,324
2026-03-17T09:44:00.000Z,75.89,518.37,0.0374,317
2026-03-17T09:45:00.000Z,71.71,565.02,0.0407,332
2026-03-17T09:46:00.000Z,82.51,646.44,0.0504,314
2026-03-17T09:47:00.000Z,86.74,677.12,0.0639,331
2026-03-17T09:48:00.000Z,96.07,618.02,0.0359,354
2026-03-17T09:49:00.000Z,83.66,671.07,0.0442,346
2026-03-17T09:50:00.000Z,101.6,708.53,0.0519,313
2026-03-17T09:51:00.000Z,89.66,717.8,0.0434,358
2026-03-17T09:52:00.000Z,87.6,781.77,0.0331,330
2026-03-17T09:53:00.000Z,106.9,904.25,0.0374,355
2026-03-17T09:54:00.000Z,107.86,907.46,0.0621,364
2026-03-17T09:55:00.000Z,94.55,948.39,0.0533,316
2026-03-17T09:56:00.000Z,104.48,966.82,0.0341,322
2026-03-17T09:57:00.000Z,117.96,1003.44,0.0551,331
2026-03-17T09:58:00.000Z,112.53,1031.22,0.0397,330
2026-03-17T09:59:00.000Z,110.75,937.28,0.0553,328
